league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_scraped_at
GER-Bundesliga,2324,Augsburg,Arne Engels,BEL,"MF,DF",19,2003,32,1405,44,45.9,15.6,13,74,2,19,23,0,1.22,25,21,4,0.26,1.02,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Arne Maier,GER,"MF,FW",24,1999,22,1003,46,32.8,11.1,10,77,3,12,19,5,1.0,20,19,1,0.09,0.57,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Daniel Hausmann,GER,MF,20,2003,0,,,,,0,,0,0,,2,,,,,,,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,David Deger,GER,MF,23,2000,0,,,,,0,,0,0,,1,,,,,,,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,David Čolina,CRO,"DF,MF",23,2000,0,,,,,0,,0,0,,3,,,,,,,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Dion Drena Beljo,CRO,"FW,MF",21,2002,26,581,22,19.0,6.5,3,74,1,23,16,5,1.12,10,14,-4,-0.62,-0.4,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Elvis Rexhbeçaj,KVX,MF,25,1997,25,1985,79,64.9,22.1,24,81,14,1,31,1,1.2,29,40,-11,-0.5,-0.58,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Ermedin Demirović,BIH,"FW,MF",25,1998,33,2873,87,93.9,31.9,33,87,23,0,,0,1.15,47,56,-9,-0.28,0.2,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Finn Dahmen,GER,GK,25,1998,31,2790,90,91.2,31.0,31,90,31,0,,0,1.26,48,52,-4,-0.13,1.87,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Frederik Winther,DEN,DF,22,2001,0,,,,,0,,0,0,,3,,,,,,,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Fredrik Jensen,FIN,MF,25,1997,22,1338,61,43.7,14.9,18,70,0,4,19,2,1.45,26,22,4,0.27,1.0,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Iago,BRA,"DF,MF",26,1997,23,1622,71,53.0,18.0,18,82,12,5,29,0,1.43,29,20,9,0.5,1.69,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Irvin Cardona,MLT,"FW,MF",25,1997,3,54,18,1.8,0.6,0,,0,3,18,1,0.33,2,1,1,1.67,2.0,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Japhet Tanganga,ENG,DF,24,1999,0,,,,,0,,0,0,,1,,,,,,,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Jeffrey Gouweleeuw,NED,DF,32,1991,30,2593,86,84.7,28.8,29,88,27,1,45,0,1.13,40,46,-6,-0.21,0.56,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Kevin Mbabu,SUI,"DF,MF",28,1995,25,2047,82,66.9,22.7,22,88,18,3,41,1,1.12,28,37,-9,-0.4,-0.31,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Kristijan Jakić,CRO,MF,26,1997,14,1051,75,34.3,11.7,13,78,8,1,31,0,1.29,17,15,2,0.17,0.71,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Mads Pedersen,DEN,"DF,MF",26,1996,27,1786,66,58.4,19.8,19,83,14,8,25,3,0.96,29,43,-14,-0.71,-0.99,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Mahmut Kücüksahin,,DF,19,2004,1,1,1,0.0,0.0,0,,0,1,1,0,0.0,0,0,0,0.0,0.29,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Marcel Łubik,POL,GK,19,2004,0,,,,,0,,0,0,,3,,,,,,,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Masaya Okugawa,JPN,"FW,MF",27,1996,2,32,16,1.0,0.4,0,,0,2,16,3,1.5,2,0,2,5.63,5.98,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Maximilian Bauer,GER,DF,23,2000,14,810,58,26.5,9.0,9,83,6,5,12,15,1.57,15,22,-7,-0.78,-0.66,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Mergim Berisha,GER,FW,25,1998,2,122,61,4.0,1.4,2,61,0,0,,0,0.5,3,5,-2,-1.48,-1.23,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Mert Kömür,GER,FW,18,2005,4,118,30,3.9,1.3,1,73,0,3,15,8,0.75,2,3,-1,-0.76,-0.49,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Nathanaël Mbuku,COD,"FW,MF",21,2002,1,5,5,0.2,0.1,0,,0,1,5,5,0.0,0,0,0,0.0,0.29,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Niklas Dorsch,GER,MF,25,1998,21,1386,66,45.3,15.4,16,81,9,5,17,5,1.14,20,30,-10,-0.65,-0.65,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Ohis Felix Uduokhai,GER,DF,25,1997,33,2921,89,95.5,32.5,33,89,31,0,,0,1.15,49,59,-10,-0.31,-0.31,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Patric Pfeiffer,GHA,DF,23,1999,11,511,46,16.7,5.7,4,81,2,7,27,11,0.64,3,14,-11,-1.94,-1.97,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Pep Biel,ESP,"FW,MF",26,1996,11,285,26,9.3,3.2,0,,0,11,26,3,1.09,4,4,0,0.0,0.32,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Phillip Tietz,GER,FW,26,1997,34,2382,70,77.8,26.5,31,74,4,3,30,0,1.15,41,45,-4,-0.15,0.65,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Robert Gumny,POL,"DF,MF",25,1998,13,481,37,15.7,5.3,6,64,2,7,14,10,0.85,9,9,0,0.0,0.35,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Ruben Vargas,SUI,"MF,FW",24,1998,31,1962,63,64.1,21.8,25,72,3,6,26,0,1.16,32,41,-9,-0.41,-0.33,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Sven Michel,GER,"FW,MF",33,1990,22,583,27,19.1,6.5,5,64,0,17,15,8,1.09,12,15,-3,-0.46,-0.21,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Tim Breithaupt,GER,MF,21,2002,16,629,39,20.6,7.0,6,70,1,10,21,13,0.88,6,19,-13,-1.86,-1.97,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Augsburg,Tomáš Koubek,CZE,GK,30,1992,3,270,90,8.8,3.0,3,90,3,0,,31,0.0,2,8,-6,-2.0,-1.87,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Adam Aznou,MAR,DF,17,2006,0,,,,,0,,0,0,,6,,,,,,,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Aleksandar Pavlovic,GER,MF,19,2004,19,1227,65,40.1,13.6,14,79,7,5,25,6,2.42,35,16,19,1.39,-0.08,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Alphonso Davies,CAN,DF,22,2000,29,2065,71,67.5,22.9,24,81,16,5,23,2,2.17,66,30,36,1.57,0.39,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Benjamin Pavard,FRA,DF,27,1996,0,,,,,0,,0,0,,1,,,,,,,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Bouna Sarr,SEN,DF,31,1992,2,106,53,3.5,1.2,1,90,1,1,16,8,3.0,4,2,2,1.7,0.27,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Bryan Zaragoza,ESP,MF,21,2001,7,183,26,6.0,2.0,1,74,0,6,18,6,1.29,4,6,-2,-0.98,-2.58,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Daniel Peretz,ISR,GK,23,2000,1,17,17,0.6,0.2,0,,0,1,17,13,3.0,0,0,0,0.0,-1.45,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Dayot Upamecano,FRA,DF,24,1998,25,1762,70,57.6,19.6,19,82,14,6,34,3,1.92,43,28,15,0.77,-1.59,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Eric Dier,ENG,DF,29,1994,15,1166,78,38.1,13.0,13,85,11,2,29,3,1.87,35,21,14,1.08,-0.58,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Eric Maxim Choupo-Moting,CMR,MF,34,1989,27,717,27,23.4,8.0,7,76,3,20,9,5,2.0,27,19,8,1.0,-0.57,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Frans Krätzig,GER,"DF,MF",20,2003,4,56,14,1.8,0.6,0,,0,4,14,16,3.0,6,0,6,9.64,8.35,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Harry Kane,ENG,FW,30,1993,32,2839,89,92.8,31.5,32,89,27,0,,0,2.16,85,39,46,1.46,0.24,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Jamal Musiala,GER,MF,20,2003,24,1755,73,57.4,19.5,20,82,4,4,28,1,2.0,54,21,33,1.69,0.59,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Jonathan Asp Jensen,DEN,FW,17,2006,1,1,1,0.0,0.0,0,,0,1,1,0,3.0,0,0,0,0.0,-1.44,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Joshua Kimmich,GER,"MF,DF",28,1995,28,2176,78,71.1,24.2,27,79,17,1,31,0,1.93,62,31,31,1.28,-0.55,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Kim Min-jae,KOR,DF,26,1996,25,1970,79,64.4,21.9,22,86,18,3,24,3,2.16,61,28,33,1.51,0.19,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Kingsley Coman,FRA,MF,27,1996,17,1113,65,36.4,12.4,15,71,2,2,23,1,2.35,30,11,19,1.54,0.15,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Konrad Laimer,AUT,"MF,DF",26,1997,29,1772,61,57.9,19.7,18,83,12,11,25,1,2.28,61,25,36,1.83,0.92,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Leon Goretzka,GER,MF,28,1995,30,2241,75,73.2,24.9,25,84,17,5,28,0,2.0,64,39,25,1.0,-1.63,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Leroy Sané,GER,MF,27,1996,27,2137,79,69.8,23.7,25,84,16,2,24,0,2.19,67,26,41,1.73,0.95,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Lovro Zvonarek,CRO,MF,18,2005,5,163,33,5.3,1.8,1,89,0,4,19,9,2.4,2,4,-2,-1.1,-2.69,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Manuel Neuer,GER,GK,37,1986,23,2053,89,67.1,22.8,23,89,22,0,,0,2.13,64,33,31,1.36,-0.25,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Mathys Tel,FRA,"MF,FW",18,2005,30,1050,35,34.3,11.7,6,85,4,24,22,4,2.1,37,17,20,1.71,0.42,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Matteo Perez Vinlöf,SWE,DF,17,2005,1,16,16,0.5,0.2,0,,0,1,16,1,3.0,0,0,0,0.0,-1.45,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Matthijs de Ligt,NED,DF,23,1999,22,1390,63,45.4,15.4,16,82,12,6,14,4,2.36,48,21,27,1.75,0.56,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Max Scholze,GER,FW,18,2005,0,,,,,0,,0,0,,1,,,,,,,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Noel Nkili,GER,MF,17,2005,0,,,,,0,,0,0,,3,,,,,,,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Noussair Mazraoui,MAR,DF,25,1997,19,1197,63,39.1,13.3,15,73,8,4,24,2,2.11,40,16,24,1.8,0.6,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Raphaël Guerreiro,POR,"MF,DF",29,1993,20,1191,60,38.9,13.2,13,75,5,7,31,2,1.9,32,17,15,1.13,-0.5,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Ryan Gravenberch,NED,MF,21,2002,1,10,10,0.3,0.1,0,,0,1,10,1,3.0,0,1,-1,-9.0,-10.48,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Sacha Boey,FRA,MF,22,2000,2,109,55,3.6,1.2,1,80,0,1,29,2,1.5,2,2,0,0.0,-1.49,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Serge Gnabry,GER,MF,28,1995,10,432,43,14.1,4.8,5,66,0,5,21,3,1.6,15,6,9,1.87,0.51,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Sven Ulreich,GER,GK,34,1988,11,990,90,32.4,11.0,11,90,11,0,,21,2.09,30,12,18,1.64,0.29,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Taichi Fukui,JPN,MF,19,2004,0,,,,,0,,0,0,,1,,,,,,,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Thomas Müller,GER,MF,33,1989,31,1654,53,54.1,18.4,20,74,4,11,16,3,2.19,51,22,29,1.58,0.3,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bayern Munich,Tom Hülsmann,GER,GK,19,2004,0,,,,,0,,0,0,,2,,,,,,,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bochum,Agon Elezi,MKD,MF,22,2001,0,,,,,0,,0,0,,5,,,,,,,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bochum,Andreas Luthe,GER,GK,36,1987,1,90,90,2.9,1.0,1,90,1,0,,11,0.0,1,4,-3,-3.0,-2.12,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bochum,Anthony Losilla,FRA,MF,37,1986,31,2576,83,84.2,28.6,31,83,19,0,,0,0.94,32,54,-22,-0.77,1.09,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bochum,Bernardo,BRA,DF,28,1995,33,2924,89,95.6,32.5,33,89,31,0,,0,1.0,41,68,-27,-0.83,2.48,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bochum,Christopher Antwi-Adjei,GHA,"FW,MF",29,1994,25,1216,49,39.7,13.5,11,76,1,14,27,2,1.0,18,28,-10,-0.74,0.33,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bochum,Cristian Gamboa,CRC,"DF,MF",33,1989,22,1187,54,38.8,13.2,12,82,6,10,21,10,1.14,16,28,-12,-0.91,0.05,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
GER-Bundesliga,2324,Bochum,Danilo Soares,BRA,MF,31,1991,5,351,70,11.5,3.9,3,88,2,2,44,11,0.6,3,6,-3,-0.77,0.19,GER,2023-2024,playing_time,2026-08-06T23:02:03.548586
