league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
ESP-La Liga,2526,Alavés,Youssef Lekhedim,ESP,"DF,MF",19,2005,25,13,1335,14.8,0,1,1,0,0,0,7,0,0.0,0.07,0.07,0.0,0.07,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Alavés,Ángel Pérez,ESP,"MF,DF",22,2002,16,14,1288,14.3,1,3,4,1,0,0,4,0,0.07,0.21,0.28,0.07,0.28,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Adama Boiro,ESP,DF,23,2002,14,8,815,9.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Aitor Paredes,ESP,DF,25,2000,19,18,1630,18.1,2,0,2,2,0,0,4,0,0.11,0.0,0.11,0.11,0.11,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Alejandro Rego,ESP,MF,22,2003,29,11,1279,14.2,1,1,2,1,0,0,6,0,0.07,0.07,0.14,0.07,0.14,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Alex Padilla,ESP,GK,21,2003,1,1,90,1.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Andoni Gorosabel,ESP,DF,28,1996,24,15,1360,15.1,0,1,1,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Asier Hierro,ESP,FW,20,2005,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Aymeric Laporte,ESP,DF,31,1994,25,24,2058,22.9,0,1,1,0,0,0,4,0,0.0,0.04,0.04,0.0,0.04,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Beñat Prados,ESP,MF,24,2001,2,1,85,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Daniel Vivian,ESP,DF,26,1999,31,28,2564,28.5,1,0,1,1,0,0,8,1,0.04,0.0,0.04,0.04,0.04,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Eder García,ESP,FW,21,2004,2,0,38,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Gorka Guruzeta,ESP,FW,28,1996,35,28,2363,26.3,10,3,13,9,1,1,6,1,0.38,0.11,0.5,0.34,0.46,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Iñaki Williams,GHA,"MF,FW",31,1994,30,25,2157,24.0,3,6,9,2,1,1,2,0,0.13,0.25,0.38,0.08,0.33,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Iñigo Lekue,ESP,DF,32,1993,11,8,600,6.7,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,31,1993,34,30,2206,24.5,1,2,3,1,0,0,10,0,0.04,0.08,0.12,0.04,0.12,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Jesús Areso,ESP,DF,26,1999,26,14,1506,16.7,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Maroan Sannadi,MAR,FW,24,2001,10,2,288,3.2,1,0,1,1,0,0,2,0,0.31,0.0,0.31,0.31,0.31,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Mikel Jauregizar,ESP,MF,21,2003,36,34,2831,31.5,2,0,2,2,0,0,6,1,0.06,0.0,0.06,0.06,0.06,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Athletic Club,Mikel Vesga,ESP,MF,32,1993,23,1,465,5.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
