league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_scraped_at
GER-Bundesliga,2324,Frankfurt,Nnamdi Collins,GER,DF,19,2004,1.0,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Frankfurt,Omar Marmoush,EGY,"FW,MF",24,1999,25.6,12,78,33,42.3,3.05,1.29,0.13,0.3,2,2,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Frankfurt,Paxten Aaronson,USA,MF,19,2003,1.1,0,2,2,100.0,1.78,1.78,0.0,0.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Frankfurt,Philipp Max,GER,"MF,DF",29,1993,15.0,1,8,2,25.0,0.53,0.13,0.13,0.5,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Frankfurt,Randal Kolo Muani,FRA,FW,24,1998,1.7,1,5,1,20.0,2.94,0.59,0.2,1.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Frankfurt,Robin Koch,GER,DF,27,1996,30.4,2,24,5,20.8,0.79,0.16,0.08,0.4,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Frankfurt,Saša Kalajdžić,AUT,FW,26,1997,3.6,0,2,1,50.0,0.55,0.28,0.0,0.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Frankfurt,Sebastian Rode,GER,MF,32,1990,0.7,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Frankfurt,Timothy Chandler,USA,"DF,MF",33,1990,0.2,0,2,1,50.0,10.0,5.0,0.0,0.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Frankfurt,Tuta,BRA,"DF,MF",24,1999,28.9,1,18,7,38.9,0.62,0.24,0.06,0.14,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Frankfurt,Willian Pacho,ECU,DF,21,2001,33.0,0,10,2,20.0,0.3,0.06,0.0,0.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Attila Szalai,HUN,"DF,MF",25,1998,1.1,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Christian Günter,GER,"MF,DF",30,1993,11.8,1,6,2,33.3,0.51,0.17,0.17,0.5,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Fabian Rüdlin,GER,MF,26,1997,0.1,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Florent Muslija,KVX,"FW,MF",25,1998,1.2,0,2,1,50.0,1.71,0.86,0.0,0.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Jordy Makengo,FRA,"DF,MF",21,2001,11.4,0,3,0,0.0,0.26,0.0,0.0,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Junior Adamu,AUT,FW,22,2001,1.2,0,2,1,50.0,1.71,0.86,0.0,0.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Kenneth Schmidt,GER,DF,21,2002,0.8,0,1,0,0.0,1.32,0.0,0.0,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Kiliann Sildillia,FRA,DF,21,2002,20.1,0,7,1,14.3,0.35,0.05,0.0,0.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Lucas Höler,GER,"FW,MF",29,1994,25.6,7,34,18,52.9,1.33,0.7,0.18,0.33,1,2,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Freiburg,Lukas Kübler,GER,DF,30,1992,20.5,1,8,3,37.5,0.39,0.15,0.13,0.33,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
