league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
ITA-Serie A,2425,Atalanta,Ademola Lookman,NGA,"MF,FW",26,1997,31,28,2247,25.0,15,5,20,14,1,1,4,0,0.6,0.2,0.8,0.56,0.76,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Alberto Manzoni,ITA,MF,19,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Ben Godfrey,ENG,"DF,MF",26,1998,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Berat Djimsiti,ALB,DF,31,1993,34,32,2640,29.3,1,2,3,1,0,0,6,0,0.03,0.07,0.1,0.03,0.1,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Charles De Ketelaere,BEL,"MF,FW",23,2001,36,25,2070,23.0,7,7,14,7,0,0,1,0,0.3,0.3,0.61,0.3,0.61,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Daniel Maldini,ITA,MF,22,2001,10,2,258,2.9,3,0,3,3,0,0,0,0,1.05,0.0,1.05,1.05,1.05,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Davide Zappacosta,ITA,MF,32,1992,30,26,2067,23.0,4,2,6,4,0,0,3,0,0.17,0.09,0.26,0.17,0.26,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Federico Cassa,ITA,MF,18,2006,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Gianluca Scamacca,ITA,FW,25,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Giorgio Scalvini,ITA,DF,20,2003,6,4,272,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Ibrahim Sulemana,GHA,MF,21,2003,9,3,283,3.1,2,0,2,2,0,0,1,0,0.64,0.0,0.64,0.64,0.64,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Isak Hien,SWE,DF,25,1999,30,27,2327,25.9,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Juan Cuadrado,COL,"MF,FW",36,1988,23,7,832,9.2,0,2,2,0,0,0,3,0,0.0,0.22,0.22,0.0,0.22,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Juan Musso,ARG,GK,30,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Lazar Samardzic,SRB,MF,22,2002,31,7,1169,13.0,2,1,3,2,0,0,3,0,0.15,0.08,0.23,0.15,0.23,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Marco Brescianini,ITA,MF,24,2000,29,9,991,11.0,4,2,6,4,0,0,1,0,0.36,0.18,0.54,0.36,0.54,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Marco Carnesecchi,ITA,GK,24,2000,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Marco Palestra,ITA,MF,19,2005,9,2,222,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Mario Pašalić,CRO,MF,29,1995,34,23,1967,21.9,3,4,7,3,0,1,1,0,0.14,0.18,0.32,0.14,0.32,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Marten de Roon,NED,"MF,DF",33,1991,36,34,3058,34.0,4,4,8,4,0,0,5,0,0.12,0.12,0.24,0.12,0.24,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Mateo Retegui,ITA,FW,25,1999,36,32,2383,26.5,25,8,33,21,4,5,3,0,0.94,0.3,1.25,0.79,1.1,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Matteo Ruggeri,ITA,"MF,DF",22,2002,30,19,1751,19.5,0,3,3,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Mitchel Bakker,NED,"DF,MF",24,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Nicolò Zaniolo,ITA,"FW,MF",25,1999,14,0,356,4.0,2,2,4,2,0,0,4,0,0.51,0.51,1.01,0.51,1.01,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Odilon Kossounou,CIV,DF,23,2001,18,12,1125,12.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
ITA-Serie A,2425,Atalanta,Rafael Tolói,ITA,DF,33,1990,11,2,468,5.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ITA,2024-2025,standard,2026-08-06T23:08:50.039947
