league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_scraped_at
FRA-Ligue 1,2324,Clermont Foot,Aïman Maurer,MAR,MF,18,2004,0.6,0,3,1,33.3,4.82,1.61,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Bilal Boutobba,FRA,"MF,FW",24,1998,10.3,1,25,9,36.0,2.43,0.87,0.04,0.11,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Cheick Konaté,MLI,"MF,DF",19,2004,11.9,1,14,4,28.6,1.18,0.34,0.07,0.25,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Chrislain Matsima,FRA,DF,21,2002,13.1,1,5,2,40.0,0.38,0.15,0.2,0.5,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Elba Rashani,KVX,"MF,FW",30,1993,13.1,2,16,5,31.3,1.23,0.38,0.13,0.4,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Florent Ogier,FRA,DF,34,1989,10.5,1,7,2,28.6,0.67,0.19,0.14,0.5,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Grejohn Kyei,FRA,FW,27,1995,11.4,2,31,8,25.8,2.72,0.7,0.03,0.13,1,1,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Habib Keita,MLI,MF,21,2002,14.2,1,20,5,25.0,1.41,0.35,0.05,0.2,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Ilhan Fakili,FRA,MF,17,2006,1.0,0,4,2,50.0,3.83,1.91,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Jim Allevinah,GAB,MF,28,1995,20.7,2,37,11,29.7,1.79,0.53,0.05,0.18,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Johan Gastien,FRA,MF,35,1988,25.1,0,11,5,45.5,0.44,0.2,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Joshua M'Bahia,CIV,DF,18,2005,0.2,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Jérémie Bela,ANG,MF,30,1993,2.3,0,6,2,33.3,2.66,0.89,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Jérémy Jacquet,FRA,DF,18,2005,2.8,0,1,0,0.0,0.36,0.0,0.0,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Komnen Andrić,SRB,FW,28,1995,1.9,0,3,0,0.0,1.6,0.0,0.0,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Massamba Ndiaye,SEN,GK,21,2001,4.0,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Mateusz Wieteska,POL,DF,26,1997,1.9,1,3,2,66.7,1.55,1.03,0.33,0.5,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Maxime Gonalons,FRA,MF,34,1989,14.4,1,13,3,23.1,0.9,0.21,0.08,0.33,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Maximiliano Caufriez,BEL,DF,26,1997,18.4,0,6,1,16.7,0.33,0.05,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Mehdi Zeffane,ALG,"MF,DF",31,1992,13.7,0,19,1,5.3,1.39,0.07,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Mohamed Bouchenna,FRA,FW,17,2006,0.3,0,1,0,0.0,3.1,0.0,0.0,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Mory Diaw,SEN,GK,30,1993,30.0,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Muhammed Cham,AUT,"MF,FW",22,2000,28.4,8,74,30,40.5,2.61,1.06,0.05,0.13,4,5,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Neto Borges,BRA,"MF,DF",26,1996,28.0,0,16,2,12.5,0.57,0.07,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Shamar Nicholson,JAM,FW,26,1997,16.5,4,40,20,50.0,2.43,1.21,0.08,0.15,1,2,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Yohann Magnin,FRA,MF,26,1997,18.7,1,14,6,42.9,0.75,0.32,0.07,0.17,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Clermont Foot,Yoël Armougom,FRA,"MF,DF",25,1998,2.6,0,2,0,0.0,0.77,0.0,0.0,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Abdoulaye Touré,GUI,MF,29,1994,25.4,2,33,10,30.3,1.3,0.39,0.0,0.0,2,2,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Alois Confais,FRA,"DF,MF",26,1996,0.1,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,André Ayew,GHA,"FW,MF",33,1989,12.3,5,33,13,39.4,2.69,1.06,0.15,0.38,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Antoine Joujou,FRA,"MF,FW",20,2003,8.7,0,20,3,15.0,2.31,0.35,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Arouna Sangante,SEN,DF,21,2002,29.9,0,16,3,18.8,0.54,0.1,0.0,0.0,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Arthur Desmas,FRA,GK,29,1994,33.0,0,0,0,,0.0,0.0,,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Christopher Opéri,CIV,"DF,MF",26,1997,27.2,3,23,10,43.5,0.85,0.37,0.13,0.3,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Daler Kuzyaev,RUS,MF,30,1993,23.2,2,16,5,31.3,0.69,0.22,0.13,0.4,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Elysée Logbo,FRA,FW,19,2004,2.8,0,4,0,0.0,1.45,0.0,0.0,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Emmanuel Sabbi,USA,"MF,FW",25,1997,17.6,5,31,11,35.5,1.76,0.62,0.1,0.27,2,2,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Etienne Youte Kinkoue,FRA,DF,21,2002,21.6,0,6,0,0.0,0.28,0.0,0.0,,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
FRA-Ligue 1,2324,Le Havre,Gautier Lloris,FRA,DF,28,1995,30.9,2,16,5,31.3,0.52,0.16,0.13,0.4,0,0,FRA,2023-2024,shooting,2026-08-06T23:13:23.735900
