league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_scraped_at
ESP-La Liga,2425,Alavés,Abde Rebbach,ALG,"MF,FW",25,1998,4.3,0,6,1,16.7,1.4,0.23,0.0,0.0,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Abdel Abqar,MAR,DF,25,1999,27.4,0,12,1,8.3,0.44,0.04,0.0,0.0,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Adrian Rodriguez,ESP,GK,23,2000,1.4,0,0,0,,0.0,0.0,,,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Aleksandar Sedlar,SRB,DF,32,1991,6.6,0,1,0,0.0,0.15,0.0,0.0,,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Ander Guevara,ESP,MF,27,1997,21.6,0,12,3,25.0,0.55,0.14,0.0,0.0,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Antonio Blanco,ESP,MF,24,2000,30.3,0,25,3,12.0,0.83,0.1,0.0,0.0,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Antonio Sivera,ESP,GK,27,1996,31.2,0,0,0,,0.0,0.0,,,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Asier Villalibre,ESP,FW,26,1997,3.7,1,9,2,22.2,2.43,0.54,0.0,0.0,1,1,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Carles Aleñá,ESP,MF,26,1998,12.1,0,15,4,26.7,1.24,0.33,0.0,0.0,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Carlos Benavídez,URU,MF,26,1998,5.4,1,5,2,40.0,0.92,0.37,0.2,0.5,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Carlos Martín,ESP,"MF,FW",22,2002,14.8,2,26,12,46.2,1.76,0.81,0.08,0.17,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Carlos Vicente,ESP,MF,25,1999,34.4,5,36,14,38.9,1.05,0.41,0.11,0.29,1,1,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Facundo Garcés,MAS,DF,24,1999,7.5,0,5,1,20.0,0.66,0.13,0.0,0.0,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Hugo Novoa,ESP,"MF,DF",21,2003,2.6,0,1,0,0.0,0.38,0.0,0.0,,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Jesús Owono,EQG,GK,23,2001,5.4,0,0,0,,0.0,0.0,,,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Joan Jordán,ESP,MF,30,1994,15.7,5,17,8,47.1,1.08,0.51,0.12,0.25,3,4,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Jon Guridi,ESP,MF,29,1995,23.1,3,24,12,50.0,1.04,0.52,0.08,0.17,1,1,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Kiké,ESP,FW,34,1989,28.2,13,63,27,42.9,2.23,0.96,0.16,0.37,3,3,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Luis Rioja,ESP,"FW,MF",30,1993,0.3,0,0,0,,0.0,0.0,,,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Luka Romero,ARG,"MF,FW",19,2004,2.2,0,2,0,0.0,0.9,0.0,0.0,,0,1,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Manu Sánchez,ESP,DF,23,2000,29.3,1,12,2,16.7,0.41,0.07,0.08,0.5,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Moussa Diarra,MLI,DF,23,2000,20.7,0,1,0,0.0,0.05,0.0,0.0,,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Nahuel Tenaglia,ARG,DF,28,1996,32.5,2,27,9,33.3,0.83,0.28,0.07,0.22,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Pau Cabanes,ESP,MF,19,2005,2.1,0,2,1,50.0,0.96,0.48,0.0,0.0,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Pica,ESP,DF,22,2002,5.5,0,4,1,25.0,0.72,0.18,0.0,0.0,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Santiago Mouriño,URU,DF,22,2002,20.5,0,13,4,30.8,0.63,0.19,0.0,0.0,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Stoichkov,ESP,"MF,FW",30,1993,7.8,0,18,3,16.7,2.32,0.39,0.0,0.0,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Tomás Conechny,ARG,"MF,FW",26,1998,9.4,1,22,10,45.5,2.34,1.06,0.05,0.1,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Alavés,Toni Martínez,ESP,FW,27,1997,11.2,4,46,15,32.6,4.09,1.33,0.09,0.27,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Adama Boiro,ESP,DF,22,2002,12.2,0,5,0,0.0,0.41,0.0,0.0,,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Adu Ares,ESP,MF,22,2001,0.2,0,0,0,,0.0,0.0,,,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Aingeru Olabarrieta,ESP,MF,18,2005,0.6,0,0,0,,0.0,0.0,,,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Aitor Paredes,ESP,DF,24,2000,20.1,3,6,3,50.0,0.3,0.15,0.5,1.0,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Alex Padilla,ESP,GK,20,2003,3.6,0,0,0,,0.0,0.0,,,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Ander Herrera,ESP,MF,34,1989,3.0,0,8,4,50.0,2.64,1.32,0.0,0.0,0,1,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Andoni Gorosabel,ESP,DF,27,1996,16.5,0,2,1,50.0,0.12,0.06,0.0,0.0,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Beñat Prados,ESP,MF,23,2001,19.1,1,16,5,31.3,0.84,0.26,0.06,0.2,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Daniel Vivian,ESP,DF,25,1999,29.0,4,19,5,26.3,0.66,0.17,0.21,0.8,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Endika Buján,ESP,FW,21,2003,0.1,0,0,0,,0.0,0.0,,,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Gorka Guruzeta,ESP,FW,27,1996,20.4,7,59,19,32.2,2.89,0.93,0.12,0.37,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Iñaki Williams,GHA,"MF,FW",30,1994,29.5,6,63,24,38.1,2.14,0.81,0.1,0.25,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Iñigo Lekue,ESP,DF,31,1993,8.6,0,2,0,0.0,0.23,0.0,0.0,,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,30,1993,16.4,0,11,1,9.1,0.67,0.06,0.0,0.0,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Javi Martón,ESP,FW,25,1999,0.6,0,0,0,,0.0,0.0,,,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Julen Agirrezabala,ESP,GK,23,2000,13.4,0,0,0,,0.0,0.0,,,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
ESP-La Liga,2425,Athletic Club,Maroan Sannadi,MAR,FW,23,2001,8.4,1,19,7,36.8,2.27,0.84,0.05,0.14,0,0,ESP,2024-2025,shooting,2026-08-06T22:57:59.517748
