league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_scraped_at
FRA-Ligue 1,2324,Clermont Foot,Alidu Seidu,GHA,DF,23,2000,12.6,5,1,0,20,29,0,4,25,26,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Andy Pelmard,MAD,DF,23,2000,33.2,1,0,0,13,18,0,6,34,41,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Aïman Maurer,MAR,MF,18,2004,0.6,0,0,0,0,0,0,4,0,1,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Bilal Boutobba,FRA,"MF,FW",24,1998,10.3,1,0,0,7,26,2,57,8,13,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Cheick Konaté,MLI,"MF,DF",19,2004,11.9,4,0,0,17,14,0,45,13,16,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Chrislain Matsima,FRA,DF,21,2002,13.1,2,0,0,12,10,1,0,14,11,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Elba Rashani,KVX,"MF,FW",30,1993,13.1,4,2,0,27,29,3,28,12,18,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Florent Ogier,FRA,DF,34,1989,10.5,1,0,0,11,6,0,0,8,10,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Grejohn Kyei,FRA,FW,27,1995,11.4,1,0,0,28,11,8,2,1,4,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Habib Keita,MLI,MF,21,2002,14.2,4,0,0,23,36,0,4,28,19,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Ilhan Fakili,FRA,MF,17,2006,1.0,0,0,0,1,1,0,1,1,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Jim Allevinah,GAB,MF,28,1995,20.7,1,0,0,15,27,1,47,12,19,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Johan Gastien,FRA,MF,35,1988,25.1,7,0,0,32,29,1,40,37,22,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Joshua M'Bahia,CIV,DF,18,2005,0.2,1,0,0,1,0,0,0,0,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Jérémie Bela,ANG,MF,30,1993,2.3,0,0,0,0,4,0,14,0,1,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Jérémy Jacquet,FRA,DF,18,2005,2.8,0,0,0,1,3,1,1,4,2,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Komnen Andrić,SRB,FW,28,1995,1.9,0,0,0,2,2,1,0,0,1,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Massamba Ndiaye,SEN,GK,21,2001,4.0,0,0,0,0,1,0,0,0,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Mateusz Wieteska,POL,DF,26,1997,1.9,0,0,0,0,2,1,0,5,1,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Maxime Gonalons,FRA,MF,34,1989,14.4,4,0,0,29,15,0,2,19,33,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Maximiliano Caufriez,BEL,DF,26,1997,18.4,6,3,1,37,18,0,4,18,29,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Mehdi Zeffane,ALG,"MF,DF",31,1992,13.7,2,0,0,13,7,2,45,16,19,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Mohamed Bouchenna,FRA,FW,17,2006,0.3,1,0,0,1,0,0,0,0,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Mory Diaw,SEN,GK,30,1993,30.0,3,0,0,0,3,0,0,1,1,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Muhammed Cham,AUT,"MF,FW",22,2000,28.4,4,0,0,23,57,3,119,7,13,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Neto Borges,BRA,"MF,DF",26,1996,28.0,3,1,0,21,23,8,80,52,25,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Shamar Nicholson,JAM,FW,26,1997,16.5,2,0,0,20,26,14,6,1,2,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Clermont Foot,Yohann Magnin,FRA,MF,26,1997,18.7,2,0,0,37,23,1,14,19,31,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
