league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
ITA-Serie A,2526,Como,Marc-Oliver Kempf,GER,DF,30,1995,34,27,2326,25.8,4,1,5,4,0,0,3,0,0.15,0.04,0.19,0.15,0.19,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Como,Martin Baturina,CRO,"MF,FW",22,2003,29,17,1569,17.4,6,3,9,6,0,0,0,0,0.34,0.17,0.52,0.34,0.52,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Como,Maxence Caqueret,FRA,MF,25,2000,30,17,1485,16.5,2,6,8,2,0,0,3,0,0.12,0.36,0.48,0.12,0.48,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Como,Máximo Perrone,ARG,MF,22,2003,36,33,2742,30.5,3,4,7,3,0,0,8,0,0.1,0.13,0.23,0.1,0.23,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Como,Mërgim Vojvoda,KVX,"MF,DF",30,1995,30,19,1591,17.7,2,2,4,2,0,0,2,0,0.11,0.11,0.23,0.11,0.23,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Como,Nicolas-Gerrit Kühn,GER,MF,25,2000,23,6,665,7.4,1,1,2,1,0,0,0,0,0.14,0.14,0.27,0.14,0.27,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Como,Nicolás Paz,ARG,MF,20,2004,35,33,2878,32.0,12,6,18,12,0,2,5,0,0.38,0.19,0.56,0.38,0.56,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Como,Sergi Roberto,ESP,MF,33,1992,20,5,544,6.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Como,Stefan Posch,AUT,DF,28,1997,14,3,393,4.4,1,0,1,1,0,0,1,0,0.23,0.0,0.23,0.23,0.23,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Como,Álex Valle,ESP,DF,21,2004,28,23,2026,22.5,1,4,5,1,0,0,3,0,0.04,0.18,0.22,0.04,0.22,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Como,Álvaro Morata,ESP,FW,32,1992,26,9,930,10.3,0,1,1,0,0,1,4,1,0.0,0.1,0.1,0.0,0.1,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Alberto Grassi,ITA,MF,30,1995,30,18,1753,19.5,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Alessio Zerbin,ITA,MF,26,1999,32,17,1646,18.3,0,3,3,0,0,0,1,0,0.0,0.16,0.16,0.0,0.16,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Antonio Sanabria,PAR,FW,29,1996,25,10,945,10.5,1,1,2,1,0,0,2,0,0.1,0.1,0.19,0.1,0.19,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Dachi Lordkipanidze,GEO,MF,20,2005,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,David Okereke,NGA,"FW,MF",27,1997,10,3,403,4.5,2,0,2,2,0,0,0,1,0.45,0.0,0.45,0.45,0.45,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Dennis Johnsen,NOR,"MF,FW",27,1998,11,5,390,4.3,1,1,2,1,0,0,0,0,0.23,0.23,0.46,0.23,0.46,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Emil Audero,IDN,GK,28,1997,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Faris Pemi Moumbagna,CMR,FW,25,2000,5,0,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Federico Baschirotto,ITA,DF,28,1996,29,29,2540,28.2,2,0,2,2,0,0,2,0,0.07,0.0,0.07,0.07,0.07,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Federico Bonazzoli,ITA,FW,28,1997,35,31,2510,27.9,10,1,11,7,3,3,4,0,0.36,0.04,0.39,0.25,0.29,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Federico Ceccherini,ITA,DF,33,1992,9,6,476,5.3,0,1,1,0,0,0,1,1,0.0,0.19,0.19,0.0,0.19,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Filippo Terracciano,ITA,DF,22,2003,36,33,3011,33.5,2,0,2,2,0,0,6,0,0.06,0.0,0.06,0.06,0.06,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Francesco Folino,ITA,DF,23,2002,18,7,722,8.0,1,0,1,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Franco Vázquez,ARG,"FW,MF",36,1989,15,4,524,5.8,1,1,2,1,0,0,1,0,0.17,0.17,0.34,0.17,0.34,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Giuseppe Pezzella,ITA,"MF,DF",27,1997,31,30,2585,28.7,0,1,1,0,0,0,8,1,0.0,0.03,0.03,0.0,0.03,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Jamie Vardy,ENG,FW,38,1987,29,24,2105,23.4,7,2,9,7,0,0,5,0,0.3,0.09,0.38,0.3,0.38,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Jari Vandeputte,BEL,MF,29,1996,32,23,1944,21.6,1,5,6,1,0,0,3,0,0.05,0.23,0.28,0.05,0.28,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Jeremy Sarmiento,ECU,MF,23,2002,7,0,142,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Manuel De Luca,ITA,FW,27,1998,2,0,16,0.2,1,0,1,0,1,1,0,0,5.63,0.0,5.63,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Marco Silvestri,ITA,GK,34,1991,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Martín Payero,ARG,MF,26,1998,25,16,1457,16.2,1,0,1,1,0,0,8,0,0.06,0.0,0.06,0.06,0.06,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Matteo Bianchetti,ITA,DF,32,1993,27,25,2192,24.4,0,2,2,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Michele Collocolo,ITA,MF,25,1999,8,5,362,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Mikayil Ngor Faye,SEN,"MF,DF",21,2004,8,2,254,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Milan Đurić,BIH,FW,35,1990,11,3,386,4.3,0,1,1,0,0,0,1,1,0.0,0.23,0.23,0.0,0.23,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Morten Thorsby,NOR,MF,29,1996,11,8,643,7.1,1,0,1,1,0,0,2,0,0.14,0.0,0.14,0.14,0.14,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Romano Floriani,ITA,MF,22,2003,28,12,1168,13.0,0,1,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Sebastiano Luperto,ITA,DF,28,1996,15,15,1307,14.5,0,1,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Simone Lottici Tessadri,ITA,MF,19,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Tommaso Barbieri,ITA,MF,22,2002,29,18,1707,19.0,0,1,1,0,0,0,8,0,0.0,0.05,0.05,0.0,0.05,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Warren Bondo,FRA,MF,21,2003,27,22,1762,19.6,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Cremonese,Youssef Maleh,MAR,MF,26,1998,14,14,1100,12.2,1,0,1,1,0,0,2,1,0.08,0.0,0.08,0.08,0.08,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Abdelhamid Sabiri,MAR,MF,28,1996,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Albert Guðmundsson,ISL,"FW,MF",28,1997,33,27,2250,25.0,5,4,9,2,3,3,4,1,0.2,0.16,0.36,0.08,0.24,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Amir Richardson,MAR,MF,23,2002,2,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Cher Ndour,ITA,MF,21,2004,33,20,1876,20.8,3,0,3,3,0,0,2,0,0.14,0.0,0.14,0.14,0.14,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Christian Kouamé,CIV,"FW,MF",27,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Daniele Rugani,ITA,DF,31,1994,6,4,327,3.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,David de Gea,ESP,GK,34,1990,37,37,3330,37.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Fiorentina,Dodô,BRA,"DF,MF",26,1998,36,36,3134,34.8,1,2,3,1,0,0,7,0,0.03,0.06,0.09,0.03,0.09,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
