league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_scraped_at
ITA-Serie A,2425,Monza,Milan Đurić,BIH,FW,34,1990,14.1,4,23,10,43.5,1.63,0.71,0.17,0.4,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Monza,Mirko Marić,CRO,FW,29,1995,1.2,0,1,0,0.0,0.85,0.0,0.0,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Monza,Omari Forson,ENG,FW,20,2004,2.5,0,5,1,20.0,2.02,0.4,0.0,0.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Monza,Pablo Marí,ESP,DF,30,1993,18.1,0,2,0,0.0,0.11,0.0,0.0,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Monza,Patrick Ciurria,ITA,MF,29,1995,12.3,1,11,2,18.2,0.89,0.16,0.09,0.5,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Monza,Pedro Pereira,POR,"MF,DF",26,1998,29.6,1,13,6,46.2,0.44,0.2,0.08,0.17,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Monza,Roberto Gagliardini,ITA,MF,30,1994,2.0,0,0,0,,0.0,0.0,,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Monza,Samuele Birindelli,ITA,MF,25,1999,16.3,3,15,10,66.7,0.92,0.61,0.2,0.3,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Monza,Samuele Vignato,ITA,MF,20,2004,5.2,0,4,1,25.0,0.77,0.19,0.0,0.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Monza,Semuel Pizzignacco,ITA,GK,22,2001,8.2,0,0,0,,0.0,0.0,,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Monza,Silvère Ganvoula,CGO,FW,28,1996,3.6,0,4,1,25.0,1.1,0.28,0.0,0.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Monza,Stefan Lekovic,SRB,DF,20,2004,4.1,0,3,0,0.0,0.74,0.0,0.0,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Monza,Stefano Sensi,ITA,MF,28,1995,3.0,1,7,2,28.6,2.3,0.66,0.0,0.0,1,1,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Monza,Stefano Turati,ITA,GK,22,2001,29.7,0,0,0,,0.0,0.0,,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Monza,Tomás Palacios,ARG,DF,21,2003,5.0,0,1,0,0.0,0.2,0.0,0.0,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Monza,Warren Bondo,FRA,MF,20,2003,18.0,0,13,1,7.7,0.72,0.06,0.0,0.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Alessandro Buongiorno,ITA,DF,25,1999,21.4,1,8,4,50.0,0.37,0.19,0.13,0.25,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Alessio Zerbin,ITA,"FW,MF",25,1999,0.0,0,0,0,,0.0,0.0,,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Alex Meret,ITA,GK,27,1997,33.4,0,0,0,,0.0,0.0,,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Amir Rrahmani,KVX,DF,30,1994,37.8,1,28,4,14.3,0.74,0.11,0.04,0.25,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Billy Gilmour,SCO,MF,23,2001,13.1,0,9,1,11.1,0.69,0.08,0.0,0.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Cyril Ngonge,BEL,FW,24,2000,2.4,0,13,6,46.2,5.42,2.5,0.0,0.0,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,David Neres,BRA,FW,27,1997,14.3,2,29,7,24.1,2.03,0.49,0.07,0.29,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Elia Caprile,ITA,GK,22,2001,3.6,0,0,0,,0.0,0.0,,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Frank Anguissa,CMR,MF,28,1995,31.7,6,44,13,29.5,1.39,0.41,0.14,0.46,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Giacomo Raspadori,ITA,"FW,MF",24,2000,12.3,6,42,14,33.3,3.43,1.14,0.14,0.43,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Giovanni Di Lorenzo,ITA,DF,30,1993,37.0,3,21,6,28.6,0.57,0.16,0.14,0.5,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Giovanni Simeone,ARG,FW,29,1995,4.7,1,13,3,23.1,2.79,0.64,0.08,0.33,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
ITA-Serie A,2425,Napoli,Juan Jesus,BRA,DF,33,1991,11.9,0,3,0,0.0,0.25,0.0,0.0,,0,0,ITA,2024-2025,shooting,2026-08-06T23:09:12.860022
