league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_scraped_at
FRA-Ligue 1,2526,Angers,Abdoulaye Bamba,CIV,DF,35,1990,2.8,0,1,1,100.0,0.35,0.35,0.0,0.0,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Amine Sbai,MAR,"MF,FW",24,2000,20.2,3,34,16,47.1,1.68,0.79,0.09,0.19,0,1,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Bane Diatta,FRA,MF,17,2008,0.1,0,0,0,,0.0,0.0,,,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Branco van den Boomen,NED,MF,30,1995,13.8,0,13,5,38.5,0.95,0.36,0.0,0.0,0,1,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Carlens Arcus,HAI,DF,29,1996,22.7,0,9,1,11.1,0.4,0.04,0.0,0.0,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Dan Sinaté,FRA,DF,19,2006,0.4,0,1,0,0.0,2.73,0.0,0.0,,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Emmanuel Biumla,FRA,DF,20,2005,4.3,0,2,0,0.0,0.47,0.0,0.0,,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Esteban Lepaul,FRA,FW,25,2000,1.9,1,3,1,33.3,1.55,0.52,0.33,1.0,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Florent Hanin,ALG,"DF,MF",35,1990,9.6,0,3,0,0.0,0.31,0.0,0.0,,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Goduine Koyalipou,CTA,FW,25,2000,7.4,2,22,9,40.9,2.96,1.21,0.05,0.11,1,1,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Haris Belkebla,ALG,MF,31,1994,31.9,0,5,0,0.0,0.16,0.0,0.0,,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Harouna Djibrin,CMR,MF,18,2006,3.7,2,7,3,42.9,1.87,0.8,0.29,0.67,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Hervé Koffi,BFA,GK,28,1996,29.5,0,0,0,,0.0,0.0,,,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Himad Abdelli,ALG,MF,25,1999,10.5,2,11,5,45.5,1.05,0.48,0.0,0.0,2,2,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Jacques Ekomie,GAB,"DF,MF",21,2003,24.9,0,12,3,25.0,0.48,0.12,0.0,0.0,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Jim Allevinah,GAB,MF,30,1995,1.5,1,5,1,20.0,3.38,0.68,0.2,1.0,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Jordan Lefort,MTN,DF,31,1993,34.0,0,11,2,18.2,0.32,0.06,0.0,0.0,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Justin-Noël Kalumba,FRA,"FW,MF",20,2004,2.5,0,1,0,0.0,0.4,0.0,0.0,,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Lanroy Machine,FRA,FW,19,2005,5.8,1,15,4,26.7,2.6,0.69,0.07,0.25,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Lilian Raolisoa,FRA,"MF,DF",25,2000,21.8,2,16,5,31.3,0.73,0.23,0.13,0.4,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Louis Mouton,FRA,MF,23,2002,21.0,2,36,8,22.2,1.71,0.38,0.06,0.25,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Marius Courcoul,FRA,MF,18,2007,4.2,0,2,1,50.0,0.48,0.24,0.0,0.0,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Marius Louer,FRA,DF,18,2007,6.0,0,0,0,,0.0,0.0,,,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Melvin Zinga,FRA,GK,23,2002,2.5,0,0,0,,0.0,0.0,,,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Oumar Pona,FRA,GK,19,2006,2.0,0,0,0,,0.0,0.0,,,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Ousmane Camara,MLI,DF,22,2003,30.2,1,13,5,38.5,0.43,0.17,0.08,0.2,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Pierrick Capelle,FRA,MF,38,1987,7.2,0,10,1,10.0,1.38,0.14,0.0,0.0,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Prosper Peter,NGA,FW,17,2007,14.1,5,23,14,60.9,1.63,0.99,0.22,0.36,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
FRA-Ligue 1,2526,Angers,Sidiki Cherif,FRA,"FW,MF",18,2006,12.9,4,28,12,42.9,2.18,0.93,0.14,0.33,0,0,FRA,2025-2026,shooting,2026-08-08T22:21:55.522487
