tournament_id,season_id,player_name,player_id,team_name,team_id,goals,assists,rating,expectedGoals,expectedAssists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,tackles,yellowCards,redCards,minutesPlayed,appearances,_metric_order,_league_id,_season,_source,_scraped_at
8,52376,João Cancelo,138892,FC Barcelona,2817,2,4,7.25,1.63,6.75,32,10,35,60,64,7,0,2506,32,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Alex Baena,910031,Villarreal,2819,2,14,7.25,8.07,9.54,73,26,86,26,34,11,1,2599,34,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Paulo Gazzaniga,164343,Girona FC,24264,0,0,7.24,0.0,0.05,0,0,3,6,2,2,0,3420,38,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Rodrigo De Paul,249399,Atlético Madrid,2836,3,5,7.24,1.81,6.23,30,12,39,28,31,7,0,2084,34,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Pepelu,826948,Valencia,2828,7,1,7.24,7.28,4.52,35,12,56,12,78,4,0,3305,37,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Lucas Vázquez,255239,Real Madrid,2829,3,6,7.24,1.17,3.55,12,7,30,24,37,0,0,1442,29,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Robert Lewandowski,41789,FC Barcelona,2817,19,8,7.23,18.1,3.59,94,43,27,23,8,5,0,2758,35,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Dani Carvajal,138572,Real Madrid,2829,4,3,7.23,1.74,3.12,18,10,22,9,47,3,1,2183,28,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Viktor Tsygankov,319735,Girona FC,24264,8,7,7.22,6.19,6.5,44,16,34,22,29,0,0,2067,30,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Pedri,992587,FC Barcelona,2817,4,2,7.22,3.12,4.07,15,7,37,16,33,3,0,1487,24,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Mikel Merino,592010,Real Sociedad,2824,5,3,7.22,3.3,2.76,30,11,20,24,77,10,0,2485,32,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Filip Jørgensen,962053,Villarreal,2819,0,0,7.21,0.0,0.04,0,0,0,1,3,4,0,3240,36,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Samuel Lino,874705,Atlético Madrid,2836,4,5,7.21,5.6,3.5,54,21,35,40,61,0,0,2087,34,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Brahim Díaz,835485,Real Madrid,2829,8,6,7.2,5.68,4.66,38,17,30,55,29,0,0,1582,31,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Antonio Raíllo,807116,Mallorca,2826,3,2,7.2,1.41,0.79,29,9,8,1,30,4,1,2202,26,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Jaume Doménech,235386,Valencia,2828,0,0,7.2,,0.0,0,0,0,0,0,0,0,79,2,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,David Gil,138390,Cádiz,4488,0,0,7.2,,0.01,0,0,0,0,0,1,0,371,5,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Claudio Bravo,13249,Real Betis,2816,0,0,7.2,0.0,0.13,0,0,1,0,0,0,0,630,7,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Artem Dovbyk,798820,Girona FC,24264,24,8,7.2,24.29,3.71,85,46,27,17,4,2,0,2605,36,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Jeremías Ledesma,341097,Cádiz,4488,0,0,7.2,0.0,0.16,0,0,1,2,1,0,0,3049,34,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Marc-André Ter Stegen,88625,FC Barcelona,2817,0,0,7.2,0.0,0.06,0,0,1,0,0,3,0,2520,28,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Andriy Lunin,857574,Real Madrid,2829,0,0,7.2,0.0,0.01,0,0,1,0,0,2,0,1890,21,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Ante Budimir,37318,Osasuna,2820,17,2,7.19,14.24,1.79,77,35,12,10,21,4,0,2453,33,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Gorka Guruzeta,605672,Athletic Club,2825,14,5,7.19,11.71,1.76,64,31,27,19,34,2,0,2240,32,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Alexander Sørloth,309078,Villarreal,2819,23,6,7.19,12.35,2.95,78,36,34,30,6,3,0,2491,34,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Brais Méndez,845385,Real Sociedad,2824,5,6,7.19,4.2,4.45,66,17,41,24,42,7,0,2420,32,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Eduardo Camavinga,973887,Real Madrid,2829,0,2,7.19,0.92,1.79,17,7,20,36,76,9,0,1824,31,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Álvaro Valles,964983,UD Las Palmas,6577,0,0,7.18,0.0,0.06,0,0,0,1,3,2,1,3264,37,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Aurélien Tchouaméni,859025,Real Madrid,2829,3,1,7.18,1.25,1.45,27,7,11,6,38,7,0,1992,27,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Pablo Fornals,816763,Real Betis,2816,3,2,7.18,1.82,1.96,17,6,23,11,24,2,0,1153,15,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Juanma Herzog,1513451,UD Las Palmas,6577,2,0,7.18,0.69,0.01,3,3,0,1,6,1,0,291,4,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Francisco Vieites,929975,Real Betis,2816,0,0,7.18,0.0,0.0,0,0,0,0,1,0,0,315,4,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Nabil Fekir,337671,Real Betis,2816,1,2,7.17,2.24,2.7,28,9,30,21,15,1,0,1049,19,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Jonathan Viera,129451,Almería,2858,2,4,7.17,3.55,2.44,26,11,44,19,25,2,1,1542,21,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Hugo Álvarez,1154935,Celta Vigo,2821,1,1,7.16,1.04,1.78,12,4,19,16,14,1,0,781,12,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Pepe Reina,26937,Villarreal,2819,0,0,7.15,,0.0,0,0,0,0,0,2,1,180,2,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Jules Koundé,827212,FC Barcelona,2817,1,2,7.15,2.07,2.6,24,7,23,16,37,4,0,2899,35,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Eric García,876214,Girona FC,24264,5,0,7.14,2.89,1.08,17,6,10,4,55,5,0,2697,32,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Mason Greenwood,942116,Getafe,2859,8,6,7.14,8.77,4.29,102,35,36,72,11,6,0,2667,33,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Dani Parejo,39182,Villarreal,2819,3,5,7.13,2.93,4.02,12,6,34,19,43,4,0,2586,33,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Gavi,1103693,FC Barcelona,2817,1,1,7.13,0.95,1.37,9,4,11,12,39,5,0,943,12,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
8,52376,Álex Remiro,791773,Real Sociedad,2824,0,0,7.13,0.0,0.06,0,0,1,0,0,2,1,3276,37,rating,ESP,2023-2024,datafc_sofascore,2026-08-09T01:07:22.722257
