league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_scraped_at
ITA-Serie A,2526,Atalanta,Ademola Lookman,NGA,"FW,MF",27,1997,12,795,66,23.2,8.8,9,83,4,3,16,1,1.33,10,13,-3,-0.34,-0.96,ITA,2025-2026,playing_time,2026-08-08T22:20:46.484347
ITA-Serie A,2526,Atalanta,Albert Escriche,ESP,DF,18,2007,0,,,,,0,,0,0,,1,,,,,,,ITA,2025-2026,playing_time,2026-08-08T22:20:46.484347
ITA-Serie A,2526,Atalanta,Berat Djimsiti,ALB,DF,32,1993,34,2525,74,73.8,28.1,29,83,23,5,23,1,1.44,32,25,7,0.25,-0.55,ITA,2025-2026,playing_time,2026-08-08T22:20:46.484347
ITA-Serie A,2526,Atalanta,Charles De Ketelaere,BEL,"MF,FW",24,2001,31,2177,70,63.7,24.2,26,79,10,5,27,0,1.45,33,20,13,0.54,0.39,ITA,2025-2026,playing_time,2026-08-08T22:20:46.484347
ITA-Serie A,2526,Atalanta,Daniel Maldini,ITA,MF,23,2001,9,264,29,7.7,2.9,3,63,0,6,13,12,1.78,1,2,-1,-0.34,-0.8,ITA,2025-2026,playing_time,2026-08-08T22:20:46.484347
ITA-Serie A,2526,Atalanta,Davide Zappacosta,ITA,MF,33,1992,35,2569,73,75.1,28.5,30,79,15,5,37,3,1.54,41,24,17,0.6,0.81,ITA,2025-2026,playing_time,2026-08-08T22:20:46.484347
ITA-Serie A,2526,Atalanta,Dominic Vavassori,ITA,FW,19,2005,1,10,10,0.3,0.1,0,,0,1,10,5,1.0,1,0,1,9.0,8.63,ITA,2025-2026,playing_time,2026-08-08T22:20:46.484347
ITA-Serie A,2526,Atalanta,Francesco Rossi,ITA,GK,34,1991,0,,,,,0,,0,0,,34,,,,,,,ITA,2025-2026,playing_time,2026-08-08T22:20:46.484347
ITA-Serie A,2526,Atalanta,Giacomo Raspadori,ITA,"MF,FW",25,2000,13,796,61,23.3,8.8,7,84,5,6,34,1,1.69,16,8,8,0.9,0.66,ITA,2025-2026,playing_time,2026-08-08T22:20:46.484347
ITA-Serie A,2526,Atalanta,Gianluca Scamacca,ITA,FW,26,1999,24,1315,55,38.5,14.6,16,67,5,8,30,7,1.25,20,14,6,0.41,0.03,ITA,2025-2026,playing_time,2026-08-08T22:20:46.484347
