league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_scraped_at
GER-Bundesliga,2526,Augsburg,Aiman Dardari,LUX,MF,20,2005,3,34,11,1.1,0.4,0,,0,3,11,2,0.33,0,0,0,0.0,0.48,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Alexis Claude-Maurice,FRA,"MF,FW",27,1998,29,2097,72,68.5,23.3,25,80,11,4,22,1,1.28,29,43,-14,-0.6,-0.41,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Anton Kade,GER,"MF,FW",21,2004,28,1743,62,57.0,19.4,18,81,6,10,29,1,1.29,22,35,-13,-0.67,-0.47,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Arne Maier,GER,MF,26,1999,1,4,4,0.1,0.0,0,,0,1,4,10,3.0,0,0,0,0.0,0.47,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Arthur Chaves,BRA,DF,24,2001,11,829,75,27.1,9.2,9,84,7,2,35,3,1.36,13,15,-2,-0.22,0.35,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Cedric Zesiger,SUI,DF,27,1998,27,1816,67,59.3,20.2,20,85,17,7,16,4,1.38,26,40,-14,-0.69,-0.55,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Chrislain Matsima,FRA,DF,23,2002,18,1489,83,48.7,16.5,17,87,15,1,5,0,1.11,23,33,-10,-0.6,-0.26,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Daniel Klein,GER,GK,24,2001,0,,,,,0,,0,0,,3,,,,,,,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Dimitris Giannoulis,GRE,MF,29,1995,27,1888,70,61.7,21.0,25,74,9,2,25,0,1.37,32,39,-7,-0.33,0.36,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Elias Saad,TUN,"MF,FW",25,1999,10,497,50,16.2,5.5,7,62,0,3,22,4,1.0,9,14,-5,-0.91,-0.52,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Elvis Rexhbeçaj,KVX,MF,27,1997,26,1118,43,36.5,12.4,10,71,3,16,26,2,1.31,20,21,-1,-0.08,0.61,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Fabian Rieder,SUI,MF,23,2002,32,2343,73,76.6,26.0,28,82,16,4,13,0,1.25,36,53,-17,-0.65,-0.78,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Finn Dahmen,GER,GK,27,1998,34,3060,90,100.0,34.0,34,90,34,0,,0,1.26,45,61,-16,-0.47,,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Han-Noah Massengo,FRA,MF,24,2001,33,2427,74,79.3,27.0,29,80,14,4,26,0,1.27,31,52,-21,-0.78,-1.49,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Ismaël Gharbi,TUN,MF,21,2004,6,94,16,3.1,1.0,0,,0,6,16,15,0.17,0,0,0,0.0,0.49,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Jeffrey Gouweleeuw,NED,DF,34,1991,11,848,77,27.7,9.4,10,82,6,1,29,1,1.27,16,20,-4,-0.42,0.06,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Keven Schlotterbeck,GER,DF,28,1997,24,2031,85,66.4,22.6,22,90,21,2,31,7,1.29,29,36,-7,-0.31,0.48,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Kristijan Jakić,CRO,"MF,DF",28,1997,26,1653,64,54.0,18.4,18,77,10,8,34,2,1.15,24,27,-3,-0.16,0.67,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Kyliane Dong,FRA,MF,20,2004,0,,,,,0,,0,0,,1,,,,,,,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Mads Pedersen,DEN,MF,28,1996,7,210,30,6.9,2.3,1,61,0,6,25,11,1.14,0,5,-5,-2.14,-1.8,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Marius Wolf,GER,MF,30,1995,29,1019,35,33.3,11.3,12,64,1,17,15,4,1.17,17,19,-2,-0.18,0.44,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Mert Kömür,GER,"MF,FW",20,2005,28,1464,52,47.8,16.3,17,74,6,11,19,5,1.25,21,28,-7,-0.43,0.08,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Michael Gregoritsch,AUT,FW,31,1994,17,913,54,29.8,10.1,11,73,2,6,19,1,1.35,19,14,5,0.49,1.37,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Nediljko Labrović,CRO,GK,25,1999,0,,,,,0,,0,0,,33,,,,,,,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Noahkai Banks,USA,DF,18,2006,23,1725,75,56.4,19.2,20,83,14,3,21,9,1.09,22,31,-9,-0.47,0.0,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Oliver Sorg,AUT,DF,18,2007,0,,,,,0,,0,0,,1,,,,,,,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Phillip Tietz,GER,FW,28,1997,10,198,20,6.5,2.2,0,,0,10,20,4,0.5,3,2,1,0.45,0.99,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Robin Fellhauer,GER,MF,27,1998,34,2799,82,91.5,31.1,31,85,19,3,56,0,1.26,38,56,-18,-0.58,-1.27,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Rodrigo Ribeiro,POR,FW,20,2005,14,636,45,20.8,7.1,6,71,0,8,26,3,1.5,6,13,-7,-0.99,-0.66,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Samuel Essende,COD,"MF,FW",27,1998,14,414,30,13.5,4.6,2,90,2,12,20,3,1.21,5,10,-5,-1.09,-0.71,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Steve Mounié,BEN,FW,30,1994,0,,,,,0,,0,0,,1,,,,,,,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Tim Schnitzer,GER,MF,17,2008,1,6,6,0.2,0.1,0,,0,1,6,1,0.0,0,1,-1,-15.0,-14.56,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Uchenna Ogundu,NGA,FW,19,2006,5,47,9,1.5,0.5,0,,0,5,9,5,1.4,3,1,2,3.83,4.37,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Augsburg,Yannik Keitel,GER,"MF,DF",25,2000,6,248,41,8.1,2.8,2,58,0,4,33,4,2.17,8,6,2,0.73,1.3,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Aleksandar Pavlovic,GER,MF,21,2004,24,1462,61,47.8,16.2,16,79,8,8,26,8,2.46,56,26,30,1.85,-1.31,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Alphonso Davies,CAN,DF,24,2000,13,525,40,17.2,5.8,6,66,1,7,19,0,2.31,26,8,18,3.09,0.67,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Bara Sapoko Ndiaye,SEN,MF,17,2007,4,143,36,4.7,1.6,2,61,0,2,11,2,2.5,4,6,-2,-1.26,-3.97,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Bastian Assomo,GER,DF,15,2010,0,,,,,0,,0,0,,1,,,,,,,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Cassiano Kiala,GER,DF,16,2009,1,1,1,0.0,0.0,0,,0,1,1,8,3.0,1,0,1,90.0,87.5,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,David Daiber,POR,FW,18,2007,2,29,15,0.9,0.3,0,,0,2,15,6,3.0,2,1,1,3.1,0.58,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Dayot Upamecano,FRA,DF,26,1998,24,1794,75,58.6,19.9,21,81,13,3,30,7,2.75,77,19,58,2.91,0.92,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Deniz Ofli,TUR,DF,18,2007,1,6,6,0.2,0.1,0,,0,1,6,4,3.0,0,1,-1,-15.0,-17.56,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Erblin Osmani,GER,MF,16,2009,1,4,4,0.1,0.0,0,,0,1,4,0,3.0,0,0,0,0.0,-2.53,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Felipe Chávez,PER,MF,18,2007,2,14,7,0.5,0.2,0,,0,2,7,3,1.5,1,0,1,6.43,3.92,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Filip Pavić,CRO,MF,15,2010,0,,,,,0,,0,0,,3,,,,,,,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Guido Rovere,ITA,MF,18,2007,0,,,,,0,,0,0,,1,,,,,,,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Harry Kane,ENG,"FW,MF",32,1993,31,2377,77,77.7,26.4,25,86,17,6,38,1,2.58,98,26,72,2.73,0.88,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Hiroki Ito,JPN,DF,26,1999,16,920,58,30.1,10.2,10,80,3,6,20,5,2.56,32,14,18,1.76,-1.1,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Jamal Musiala,GER,"MF,FW",22,2003,15,683,46,22.3,7.6,7,69,1,8,25,0,2.53,31,10,21,2.77,0.31,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Jannis Bärtl,GER,GK,19,2006,0,,,,,0,,0,0,,2,,,,,,,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Javier Fernández,ESP,MF,18,2006,0,,,,,0,,0,0,,1,,,,,,,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
GER-Bundesliga,2526,Bayern Munich,Jonah Kusi-Asare,SWE,FW,18,2007,1,5,5,0.2,0.1,0,,0,1,5,1,3.0,0,0,0,0.0,-2.53,GER,2025-2026,playing_time,2026-08-08T22:18:38.480313
