league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
ESP-La Liga,2324,Alavés,Abde Rebbach,ALG,MF,24,1998,23,6,722,8.0,1,0,1,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Alavés,Abdel Abqar,MAR,DF,24,1999,27,27,2312,25.7,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Alavés,Aleksandar Sedlar,SRB,DF,31,1991,11,11,946,10.5,1,0,1,1,0,0,2,0,0.1,0.0,0.1,0.1,0.1,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Alavés,Alex Sola,ESP,MF,24,1999,29,14,1262,14.0,0,3,3,0,0,0,2,0,0.0,0.21,0.21,0.0,0.21,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Alavés,Ander Guevara,ESP,MF,26,1997,37,33,2932,32.6,1,0,1,1,0,0,7,0,0.03,0.0,0.03,0.03,0.03,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Alavés,Andoni Gorosabel,ESP,DF,26,1996,36,33,2854,31.7,1,0,1,1,0,0,6,0,0.03,0.0,0.03,0.03,0.03,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Alavés,Antonio Blanco,ESP,MF,23,2000,33,29,2426,27.0,0,1,1,0,0,0,5,1,0.0,0.04,0.04,0.0,0.04,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,26,1996,34,34,3060,34.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Alavés,Carlos Benavídez,URU,MF,25,1998,29,10,1136,12.6,3,1,4,3,0,0,5,0,0.24,0.08,0.32,0.24,0.32,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Alavés,Carlos Vicente,ESP,MF,24,1999,18,12,1114,12.4,2,4,6,2,0,0,1,0,0.16,0.32,0.48,0.16,0.48,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Alavés,Eneko Ortiz,ESP,MF,20,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
