country,tournament,tournament_id,season_id,team_name,team_id,position,matches,wins,draws,losses,scores_for,scores_against,points,category,_league_id,_season,_source,_scraped_at
Belgium,"Pro League, Championship Round",38,52383,Club Brugge KV,2888,1,40,21,12,7,83,35,50,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,"Pro League, Championship Round",38,52383,Royale Union Saint-Gilloise,4860,2,40,25,9,6,80,43,49,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,"Pro League, Championship Round",38,52383,RSC Anderlecht,2900,3,40,22,11,7,70,42,46,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,"Pro League, Championship Round",38,52383,Cercle Brugge,2929,4,40,17,9,14,57,47,37,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,"Pro League, Championship Round",38,52383,KRC Genk,2890,5,40,16,12,12,59,48,37,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,"Pro League, Championship Round",38,52383,Royal Antwerp FC,2889,6,40,16,10,14,62,45,32,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,"Pro League, Relegation Round",38,52383,RC Sporting Charleroi,2898,1,36,12,9,15,37,52,45,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,"Pro League, Relegation Round",38,52383,KV Kortrijk,4858,2,36,8,7,21,29,67,31,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,"Pro League, Relegation Round",38,52383,RWDM Brussels,204219,3,36,7,9,20,39,76,30,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,"Pro League, Relegation Round",38,52383,KAS Eupen,2926,4,36,8,4,24,29,66,28,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,Pro League,38,52383,Royale Union Saint-Gilloise,4860,1,30,21,7,2,63,31,70,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,Pro League,38,52383,RSC Anderlecht,2900,2,30,18,9,3,58,30,63,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,Pro League,38,52383,Royal Antwerp FC,2889,3,30,14,10,6,55,27,52,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,Pro League,38,52383,Club Brugge KV,2888,4,30,14,9,7,62,29,51,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,Pro League,38,52383,Cercle Brugge,2929,5,30,14,5,11,44,34,47,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,Pro League,38,52383,KRC Genk,2890,6,30,12,11,7,51,31,47,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,Pro League,38,52383,KAA Gent,2903,7,30,12,11,7,53,38,47,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,Pro League,38,52383,KV Mechelen,5044,8,30,13,6,11,39,34,45,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
Belgium,Pro League,38,52383,Sint-Truidense VV,2895,9,30,10,10,10,35,46,40,Total,BEL,2023-2024,datafc_sofascore,2026-08-09T07:49:58.586403
