league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
FRA-Ligue 1,2425,Angers,Sidiki Cherif,FRA,FW,17,2006,7,3,324,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Angers,Yahia Fofana,CIV,GK,23,2000,33,33,2970,33.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Angers,Yassin Belkhdim,FRA,MF,22,2002,29,16,1523,16.9,1,1,2,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Angers,Zinedine Ferhat,ALG,MF,31,1993,24,8,849,9.4,2,0,2,2,0,0,1,0,0.21,0.0,0.21,0.21,0.21,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Angers,Zinédine Ould Khaled,FRA,MF,24,2000,10,4,343,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Ado Onaiwu,JPN,"MF,FW",28,1995,31,9,957,10.6,4,1,5,4,0,0,1,1,0.38,0.09,0.47,0.38,0.47,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Aristide Zossou,CIV,MF,19,2005,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Assane Dioussé,SEN,MF,26,1997,17,7,663,7.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Ben Viadere,FRA,FW,18,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Clément Akpa,CIV,DF,22,2001,31,29,2486,27.6,0,1,1,0,0,0,7,0,0.0,0.04,0.04,0.0,0.04,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Donovan Léon,GUF,GK,31,1992,32,32,2880,32.0,0,2,2,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Elisha Owusu,GHA,MF,26,1997,28,28,2344,26.0,1,3,4,1,0,0,7,0,0.04,0.12,0.15,0.04,0.15,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Eros Maddy,NED,"FW,MF",23,2001,2,0,15,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Florian Ayé,FRA,FW,27,1997,26,4,575,6.4,2,0,2,2,0,0,0,0,0.31,0.0,0.31,0.31,0.31,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Fredrik Oppegard,NOR,"MF,DF",21,2002,9,2,273,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Gabriel Osho,NGA,DF,25,1998,20,20,1654,18.4,1,0,1,1,0,0,1,1,0.05,0.0,0.05,0.05,0.05,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Gaëtan Perrin,FRA,MF,28,1996,34,31,2691,29.9,10,11,21,10,0,0,2,0,0.33,0.37,0.7,0.33,0.7,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Gideon Mensah,GHA,"DF,MF",26,1998,29,26,2280,25.3,0,1,1,0,0,0,2,0,0.0,0.04,0.04,0.0,0.04,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Hamed Junior Traorè,CIV,MF,24,2000,26,26,2093,23.3,10,2,12,10,0,0,5,0,0.43,0.09,0.52,0.43,0.52,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Han-Noah Massengo,FRA,MF,23,2001,17,11,1046,11.6,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Jubal,BRA,DF,30,1993,30,30,2640,29.3,6,0,6,3,3,4,7,0,0.2,0.0,0.2,0.1,0.1,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
FRA-Ligue 1,2425,Auxerre,Ki-Jana Hoever,NED,"DF,MF",22,2002,30,26,2124,23.6,1,2,3,1,0,0,4,1,0.04,0.08,0.13,0.04,0.13,FRA,2024-2025,standard,2026-08-06T23:14:52.909854
