league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2526,Alavés,Abde Rebbach,ALG,"MF,DF",26,1998,30,1496,50,43.7,16.6,15,76,7,15,24,7,1.13,21,21,0,0.0,0.56,ESP,2025-2026,playing_time,fbref_soccerdata,2026-08-10 21:48:40
ESP-La Liga,2526,Alavés,Aitor Mañas,ESP,FW,22,2003,9,122,14,3.6,1.4,0,,0,9,14,10,1.0,2,3,-1,-0.74,-0.44,ESP,2025-2026,playing_time,fbref_soccerdata,2026-08-10 21:48:40
ESP-La Liga,2526,Alavés,Ander Guevara,ESP,MF,28,1997,25,654,26,19.1,7.3,2,83,1,23,21,12,1.0,15,14,1,0.14,0.56,ESP,2025-2026,playing_time,fbref_soccerdata,2026-08-10 21:48:40
ESP-La Liga,2526,Alavés,Antonio Blanco,ESP,MF,25,2000,36,3110,86,90.9,34.6,36,86,28,0,,1,1.08,36,52,-16,-0.46,-1.62,ESP,2025-2026,playing_time,fbref_soccerdata,2026-08-10 21:48:40
ESP-La Liga,2526,Alavés,Antonio Sivera,ESP,GK,28,1996,38,3420,90,100.0,38.0,38,90,38,0,,0,1.13,44,56,-12,-0.32,,ESP,2025-2026,playing_time,fbref_soccerdata,2026-08-10 21:48:40
ESP-La Liga,2526,Alavés,Calebe,BRA,MF,25,2000,19,752,40,22.0,8.4,13,52,0,6,13,18,1.21,8,8,0,0.0,0.4,ESP,2025-2026,playing_time,fbref_soccerdata,2026-08-10 21:48:40
ESP-La Liga,2526,Alavés,Carles Aleñá,ESP,MF,27,1998,34,1989,59,58.2,22.1,23,73,4,11,27,3,1.06,23,35,-12,-0.54,-0.54,ESP,2025-2026,playing_time,fbref_soccerdata,2026-08-10 21:48:40
ESP-La Liga,2526,Alavés,Carlos Ballestero,ESP,DF,21,2004,1,1,1,0.0,0.0,0,,0,1,1,8,1.0,0,1,-1,-90.0,-89.71,ESP,2025-2026,playing_time,fbref_soccerdata,2026-08-10 21:48:40
ESP-La Liga,2526,Alavés,Carlos Benavídez,URU,DF,27,1998,13,324,25,9.5,3.6,3,55,1,10,16,14,1.62,5,6,-1,-0.28,0.04,ESP,2025-2026,playing_time,fbref_soccerdata,2026-08-10 21:48:40
ESP-La Liga,2526,Alavés,Carlos Vicente,ESP,MF,26,1999,21,1258,60,36.8,14.0,11,79,6,10,39,0,1.05,12,19,-7,-0.5,-0.29,ESP,2025-2026,playing_time,fbref_soccerdata,2026-08-10 21:48:40
