league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2425,Leganés,Álvaro Abajas,ESP,GK,21,2003,0,,,,,0,,0,0,,33,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Leganés,Óscar Rodríguez Arnaiz,ESP,MF,26,1998,29,1330,46,38.9,14.8,12,75,5,17,25,5,0.97,15,21,-6,-0.41,0.07,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Abdón Prats,ESP,"FW,MF",31,1992,24,456,19,13.3,5.1,3,72,1,21,11,8,1.38,7,6,1,0.2,0.5,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Antonio Raillo,ESP,DF,32,1991,36,3207,89,93.8,35.6,36,89,34,0,,0,1.25,31,38,-7,-0.2,0.65,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Antonio Sánchez,ESP,"MF,DF",27,1997,33,1395,42,40.8,15.5,12,77,2,21,23,3,1.39,16,14,2,0.13,0.62,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Chiquinho,POR,MF,24,2000,8,146,18,4.3,1.6,1,56,0,7,13,23,1.13,4,2,2,1.23,1.54,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Copete,ESP,DF,24,1999,25,1528,61,44.7,17.0,16,88,15,9,13,9,1.2,14,21,-7,-0.41,-0.32,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Cyle Larin,CAN,FW,29,1995,32,1764,55,51.6,19.6,21,72,2,11,23,4,1.19,13,20,-7,-0.36,-0.25,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Dani Rodríguez,ESP,"MF,FW",36,1988,37,2162,58,63.2,24.0,26,74,1,11,22,0,1.3,21,31,-10,-0.42,-0.49,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Mallorca,Daniel Luna,COL,MF,21,2003,2,20,10,0.6,0.2,0,,0,2,10,19,0.0,0,0,0,0.0,0.24,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
