league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2324,Atalanta,Matteo Colombo,ITA,MF,19,2004,0,,,,,0,,0,0,,1,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Matteo Ruggeri,ITA,MF,21,2002,34,2449,72,71.6,27.2,28,80,7,6,33,3,1.82,54,31,23,0.85,0.2,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Michel Ndary Adopo,FRA,MF,23,2000,10,109,11,3.2,1.2,0,,0,10,11,26,2.1,3,3,0,0.0,-0.82,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Mitchel Bakker,NED,MF,23,2000,14,382,27,11.2,4.2,3,51,0,11,21,22,1.29,2,7,-5,-1.18,-2.21,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Moustapha Cissé,GUI,FW,19,2003,0,,,,,0,,0,0,,3,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Nadir Zortea,ITA,"DF,MF",24,1999,5,149,30,4.4,1.7,0,,0,5,30,14,1.4,4,1,3,1.81,1.07,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Paolo Vismara,ITA,GK,20,2003,0,,,,,0,,0,0,,3,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Pietro Comi,ITA,DF,18,2005,0,,,,,0,,0,0,,5,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Rafael Tolói,ITA,DF,32,1990,18,965,54,28.2,10.7,10,82,6,8,18,8,1.89,21,12,9,0.84,0.07,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Sead Kolašinac,BIH,DF,30,1993,30,2178,73,63.7,24.2,25,83,16,5,23,2,1.77,45,23,22,0.91,0.33,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Siren Diao,ESP,FW,18,2005,0,,,,,0,,0,0,,2,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Teun Koopmeiners,NED,MF,25,1998,34,2627,77,76.8,29.2,29,85,19,5,33,0,1.68,55,34,21,0.72,-0.3,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Tommaso Del Lungo,ITA,DF,19,2003,0,,,,,0,,0,0,,1,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Atalanta,Éderson Silva,BRA,MF,24,1999,36,2869,80,83.9,31.9,32,85,24,4,38,1,1.75,54,38,16,0.5,-1.78,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Adama Soumaoro,FRA,DF,31,1992,0,,,,,0,,0,0,,2,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Alexis Saelemaekers,BEL,MF,24,1999,30,1887,63,55.2,21.0,21,76,7,9,32,1,1.87,31,18,13,0.62,0.09,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Babis Lykogiannis,GRE,DF,29,1993,22,904,41,26.4,10.0,10,74,3,12,14,15,1.73,16,11,5,0.5,-0.11,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Dan Ndoye,SUI,"MF,FW",22,2000,32,1771,55,51.8,19.7,20,76,4,12,21,1,1.97,30,13,17,0.86,0.59,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Federico Ravaglia,ITA,GK,23,1999,6,535,89,15.6,5.9,6,89,5,0,,32,2.17,10,3,7,1.18,0.71,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Giovanni Fabbian,ITA,MF,20,2003,27,1057,39,30.9,11.7,11,73,2,16,16,11,2.0,17,12,5,0.43,-0.22,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Jens Odgaard,DEN,"MF,FW",24,1999,10,431,43,12.6,4.8,5,67,0,5,19,3,2.0,9,1,8,1.67,1.25,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Jesper Karlsson,SWE,MF,25,1998,7,344,49,10.1,3.8,4,71,0,3,20,19,1.43,1,2,-1,-0.26,-0.93,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Jhon Lucumí,COL,DF,25,1998,29,2217,76,64.8,24.6,23,89,22,6,29,4,1.62,30,18,12,0.49,-0.26,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Joaquin Sosa,URU,DF,21,2002,0,,,,,0,,0,0,,2,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Joshua Zirkzee,NED,FW,22,2001,34,2759,81,80.7,30.7,32,84,15,2,30,0,1.88,44,25,19,0.62,0.21,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Kacper Urbanski,POL,"MF,FW",18,2004,22,926,42,27.1,10.3,9,72,2,13,21,16,1.91,15,10,5,0.49,-0.13,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Kevin Bonifazi,ITA,DF,27,1996,1,90,90,2.6,1.0,1,90,1,0,,13,1.0,1,1,0,0.0,-0.59,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Lewis Ferguson,SCO,MF,23,1999,31,2712,87,79.3,30.1,31,87,25,0,,0,1.87,41,24,17,0.56,-0.07,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Lorenzo De Silvestri,ITA,DF,35,1988,15,674,45,19.7,7.5,7,70,0,8,23,20,1.87,11,7,4,0.53,-0.06,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Michel Aebischer,SUI,MF,26,1997,36,2230,62,65.2,24.8,26,79,13,10,17,1,1.81,29,20,9,0.36,-0.62,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Mihajlo Ilić,SRB,DF,20,2003,0,,,,,0,,0,0,,18,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Nicola Bagnolini,ITA,GK,19,2004,1,5,5,0.1,0.1,0,,0,1,5,29,0.0,0,0,0,0.0,-0.58,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Nicolás Domínguez,ARG,MF,25,1998,2,102,51,3.0,1.1,1,71,0,1,31,0,0.5,0,3,-3,-2.65,-3.33,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Nikola Moro,CRO,"MF,FW",25,1998,23,840,37,24.6,9.3,10,62,1,13,17,15,1.61,13,12,1,0.11,-0.63,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Oussama El Azzouzi,MAR,MF,22,2001,18,547,30,16.0,6.1,5,75,2,13,13,11,1.78,8,7,1,0.16,-0.49,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Remo Freuler,SUI,MF,31,1992,32,2624,82,76.7,29.2,30,85,20,2,35,2,1.88,46,23,23,0.79,0.9,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Riccardo Calafiori,ITA,DF,21,2002,30,2349,78,68.7,26.1,26,89,23,4,12,6,1.97,44,20,24,0.92,1.09,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Riccardo Orsolini,ITA,MF,26,1997,33,1792,54,52.4,19.9,19,75,6,14,27,1,1.67,31,17,14,0.7,0.26,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Sam Beukema,NED,DF,24,1998,30,2547,85,74.5,28.3,29,87,26,1,16,5,1.9,40,27,13,0.46,-0.47,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Santiago Castro,ARG,FW,18,2004,8,242,30,7.1,2.7,2,76,1,6,15,4,1.5,4,2,2,0.74,0.18,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Stefan Posch,AUT,DF,26,1997,31,2409,78,70.4,26.8,29,80,18,2,38,1,1.81,36,24,12,0.45,-0.44,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Sydney van Hooijdonk,NED,FW,23,2000,9,212,24,6.2,2.4,2,67,0,7,11,10,1.0,2,2,0,0.0,-0.62,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Tito Gasperini,ITA,GK,17,2006,0,,,,,0,,0,0,,7,,,,,,,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Tommaso Corazza,ITA,DF,19,2004,9,195,22,5.7,2.2,1,67,0,8,16,26,1.44,4,1,3,1.38,0.85,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Victor Bernth Kristiansen,DEN,DF,20,2002,32,2307,72,67.5,25.6,26,84,16,6,23,3,1.88,36,20,16,0.62,0.14,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Bologna,Łukasz Skorupski,POL,GK,32,1991,32,2880,90,84.2,32.0,32,90,32,0,,6,1.72,44,29,15,0.47,-0.7,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
ITA-Serie A,2324,Cagliari,Adam Obert,SVK,DF,20,2002,17,941,55,27.5,10.5,10,85,7,7,14,21,0.65,10,32,-22,-2.1,-1.96,ITA,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:55:34
