league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2526,Osasuna,Abel Bretones,ESP,"MF,DF",24,2000,18.0,1,11,3,27.3,0.61,0.17,0.09,0.33,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Aimar Oroz,ESP,"MF,FW",23,2001,23.8,0,29,4,13.8,1.22,0.17,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Aitor Fernández,ESP,GK,34,1991,1.5,0,0,0,,0.0,0.0,,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Ante Budimir,CRO,FW,34,1991,32.6,17,103,41,39.8,3.16,1.26,0.11,0.27,6,8,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Asier Osambela,ESP,DF,21,2004,3.8,1,6,3,50.0,1.57,0.79,0.17,0.33,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Catena,ESP,DF,30,1994,34.1,3,19,4,21.1,0.56,0.12,0.16,0.75,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Enzo Boyomo,CMR,DF,23,2001,28.2,1,11,4,36.4,0.39,0.14,0.09,0.25,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Iker Benito,ESP,MF,22,2002,1.8,1,2,1,50.0,1.13,0.57,0.5,1.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Iker Muñoz,ESP,MF,22,2002,10.6,0,9,4,44.4,0.85,0.38,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Iñigo Arguibide,ESP,DF,20,2005,2.1,0,0,0,,0.0,0.0,,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Osasuna,Javi Galán,ESP,DF,30,1994,18.6,0,6,1,16.7,0.32,0.05,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
