league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
GER-Bundesliga,2425,Werder Bremen,Julián Malatini,ARG,DF,23,2001,5.0,1,3,1,33.3,0.59,0.2,0.33,1.0,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Werder Bremen,Justin Njinmah,GER,"FW,MF",23,2000,10.6,3,31,7,22.6,2.93,0.66,0.1,0.43,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Werder Bremen,Keke Topp,GER,FW,20,2004,2.8,2,7,4,57.1,2.5,1.43,0.29,0.5,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Werder Bremen,Leonardo Bittencourt,GER,MF,30,1993,10.9,2,27,9,33.3,2.47,0.82,0.07,0.22,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Werder Bremen,Marco Friedl,AUT,DF,26,1998,24.0,0,4,3,75.0,0.17,0.12,0.0,0.0,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Werder Bremen,Marco Grüll,AUT,"FW,MF",26,1998,13.1,6,25,10,40.0,1.91,0.76,0.24,0.6,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Werder Bremen,Marvin Ducksch,GER,FW,30,1994,26.9,8,71,29,40.8,2.64,1.08,0.1,0.24,1,2,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Werder Bremen,Michael Zetterer,GER,GK,29,1995,34.0,0,0,0,,0.0,0.0,,,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Werder Bremen,Miloš Veljković,SRB,DF,28,1995,11.4,0,2,1,50.0,0.17,0.09,0.0,0.0,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Werder Bremen,Mitchell Weiser,GER,MF,30,1994,31.9,5,43,15,34.9,1.35,0.47,0.12,0.33,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Werder Bremen,Niklas Stark,GER,DF,29,1995,23.4,0,12,3,25.0,0.51,0.13,0.0,0.0,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Werder Bremen,Oliver Burke,SCO,FW,27,1997,10.1,5,35,13,37.1,3.47,1.29,0.14,0.38,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Werder Bremen,Olivier Deman,BEL,"DF,FW",24,2000,0.7,0,0,0,,0.0,0.0,,,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Werder Bremen,Romano Schmid,AUT,MF,24,2000,31.5,5,48,15,31.3,1.52,0.48,0.08,0.27,1,1,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Werder Bremen,Senne Lynen,BEL,MF,25,1999,30.4,0,24,3,12.5,0.79,0.1,0.0,0.0,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Werder Bremen,Skelly Alvero,FRA,MF,22,2002,2.6,0,1,0,0.0,0.38,0.0,0.0,,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Andreas Skov Olsen,DEN,"MF,FW",24,1999,5.9,1,7,1,14.3,1.18,0.17,0.14,1.0,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Aster Vranckx,BEL,MF,21,2002,6.2,0,0,0,,0.0,0.0,,,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Bence Dárdai,HUN,MF,18,2006,14.5,1,11,1,9.1,0.76,0.07,0.09,1.0,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Cedric Zesiger,SUI,DF,26,1998,5.8,0,2,1,50.0,0.34,0.17,0.0,0.0,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,David Odogu,GER,DF,18,2006,2.2,0,2,0,0.0,0.92,0.0,0.0,,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Denis Vavro,SVK,DF,28,1996,27.3,2,25,7,28.0,0.91,0.26,0.08,0.29,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
GER-Bundesliga,2425,Wolfsburg,Jakub Kamiński,POL,"MF,DF",22,2002,12.6,0,15,3,20.0,1.19,0.24,0.0,0.0,0,0,GER,2024-2025,shooting,fbref_soccerdata,2026-08-10 21:52:11
