league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
FRA-Ligue 1,2425,Rennes,Djaoui Cissé,FRA,MF,20,2004,12.5,1,15,7,46.7,1.2,0.56,0.07,0.14,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Gauthier Gallon,FRA,GK,31,1993,0.5,0,0,0,,0.0,0.0,,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Glen Kamara,FIN,MF,28,1995,7.4,0,1,0,0.0,0.14,0.0,0.0,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Hans Hateboer,NED,"DF,MF",30,1994,18.7,0,8,0,0.0,0.43,0.0,0.0,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Henrik Meister,DEN,FW,20,2003,0.7,1,2,1,50.0,2.86,1.43,0.5,1.0,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Ismaël Koné,CAN,MF,22,2002,5.2,2,6,3,50.0,1.15,0.58,0.33,0.67,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Jordan James,WAL,MF,20,2004,13.1,0,17,3,17.6,1.3,0.23,0.0,0.0,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Jota,POR,MF,25,1999,3.7,1,4,2,50.0,1.08,0.54,0.25,0.5,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Jérémy Jacquet,FRA,DF,19,2005,10.3,0,8,3,37.5,0.78,0.29,0.0,0.0,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Kader Meïté,FRA,FW,16,2007,6.0,2,15,5,33.3,2.48,0.83,0.13,0.4,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Kazeem Olaigbe,BEL,"MF,FW",21,2003,3.3,0,6,2,33.3,1.81,0.6,0.0,0.0,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Kyogo Furuhashi,JPN,FW,29,1995,1.4,0,1,0,0.0,0.73,0.0,0.0,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Leo Østigård,NOR,DF,24,1999,13.6,1,6,2,33.3,0.44,0.15,0.17,0.5,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Lilian Brassier,FRA,DF,24,1999,13.7,1,14,2,14.3,1.02,0.15,0.07,0.5,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Lorenz Assignon,TOG,"MF,DF",24,2000,26.2,3,22,5,22.7,0.84,0.19,0.14,0.6,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Ludovic Blas,FRA,"MF,FW",26,1997,25.5,6,57,26,45.6,2.24,1.02,0.11,0.23,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Mahamadou Nagida,CMR,MF,19,2005,4.8,2,6,3,50.0,1.26,0.63,0.33,0.67,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Mikayil Ngor Faye,SEN,DF,20,2004,7.6,0,6,3,50.0,0.78,0.39,0.0,0.0,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Musa Al-Taamari,JOR,"FW,MF",27,1997,6.3,1,14,3,21.4,2.22,0.48,0.07,0.33,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Naouirou Ahamada,FRA,MF,22,2002,0.6,0,1,0,0.0,1.55,0.0,0.0,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Seko Fofana,CIV,MF,29,1995,9.4,1,24,6,25.0,2.56,0.64,0.04,0.17,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Rennes,Steve Mandanda,FRA,GK,39,1985,16.5,0,0,0,,0.0,0.0,,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Saint-Étienne,Aimen Moueffek,FRA,MF,23,2001,11.5,0,10,2,20.0,0.87,0.17,0.0,0.0,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
FRA-Ligue 1,2425,Saint-Étienne,Anthony Briançon,FRA,"DF,MF",29,1994,0.0,0,0,0,,0.0,0.0,,,0,0,FRA,2024-2025,shooting,fbref_soccerdata,2026-08-10 22:03:34
