league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,_league_id,_season,_stat_type,_source,_scraped_at
GER-Bundesliga,2526,Augsburg,Finn Dahmen,GER,GK,27,1998,34,34,3060,34.0,61,1.79,166,105,63.3,12,7,15,5,14.7,7,6,1,0,14.3,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Bayern Munich,Jonas Urbig,GER,GK,21,2003,14,11,1111,12.3,15,1.22,47,32,68.1,9,1,1,6,54.5,2,1,0,1,0.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Bayern Munich,Manuel Neuer,GER,GK,39,1986,22,22,1859,20.7,20,0.97,51,31,60.8,19,3,0,7,31.8,1,1,0,0,0.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Bayern Munich,Sven Ulreich,GER,GK,36,1988,1,1,90,1.0,1,1.0,7,6,85.7,0,1,0,0,0.0,0,0,0,0,,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Dortmund,Gregor Kobel,SUI,GK,27,1997,34,34,3060,34.0,34,1.0,122,88,72.1,22,7,5,15,44.1,5,5,0,0,0.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Frankfurt,Kauã Santos,BRA,GK,22,2003,13,13,1084,12.0,32,2.66,69,37,53.6,3,4,6,2,15.4,1,1,0,0,0.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Frankfurt,Michael Zetterer,GER,GK,30,1995,22,21,1976,22.0,33,1.5,95,62,65.3,8,7,6,6,28.6,2,2,0,0,0.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Freiburg,Noah Atubolu,GER,GK,23,2002,34,34,3060,34.0,57,1.68,157,100,63.7,13,8,13,6,17.6,1,0,1,0,100.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Gladbach,Moritz Nicolas,GER,GK,27,1997,34,34,3060,34.0,53,1.56,189,136,72.0,9,11,14,13,38.2,5,5,0,0,0.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Hamburger SV,Daniel Heuer Fernandes,POR,GK,32,1992,33,33,2970,33.0,53,1.61,158,105,66.5,9,10,14,6,18.2,10,6,2,2,25.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Hamburger SV,Sander Tangvik,NOR,GK,22,2002,1,1,90,1.0,1,1.0,7,6,85.7,0,1,0,0,0.0,1,0,1,0,100.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Heidenheim,Diant Ramaj,GER,GK,23,2001,31,31,2790,31.0,67,2.16,167,100,59.9,5,8,18,1,3.2,6,5,0,1,0.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Heidenheim,Frank Feller,GER,GK,21,2004,3,3,270,3.0,5,1.67,20,15,75.0,1,0,2,0,0.0,0,0,0,0,,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Hoffenheim,Oliver Baumann,GER,GK,35,1990,34,34,3060,34.0,52,1.53,150,98,65.3,18,7,9,7,20.6,7,5,0,2,0.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Köln,Marvin Schwäbe,GER,GK,30,1995,34,34,3060,34.0,63,1.85,155,92,59.4,7,11,16,3,8.8,7,5,2,0,28.6,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Leverkusen,Janis Blaswich,GER,GK,34,1991,11,10,931,10.3,9,0.87,50,41,82.0,5,4,1,3,30.0,0,0,0,0,,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Leverkusen,Mark Flekken,NED,GK,32,1993,24,24,2129,23.7,38,1.61,117,79,67.5,12,4,8,5,20.8,7,7,0,0,0.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Mainz 05,Daniel Batz,GER,GK,34,1991,21,21,1890,21.0,27,1.29,97,70,72.2,9,7,5,4,19.0,1,1,0,0,0.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Mainz 05,Lasse Rieß,GER,GK,24,2001,4,3,292,3.2,12,3.7,27,15,55.6,0,0,3,0,0.0,1,1,0,0,0.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Mainz 05,Robin Zentner,GER,GK,30,1994,10,10,876,9.7,14,1.44,45,31,68.9,1,3,6,0,0.0,0,0,0,0,,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,RB Leipzig,Maarten Vandevoordt,BEL,GK,23,2002,12,11,1052,11.7,15,1.28,45,30,66.7,8,1,2,2,18.2,1,0,1,0,100.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,RB Leipzig,Péter Gulácsi,HUN,GK,35,1990,23,23,2008,22.3,32,1.43,85,52,62.4,12,4,7,9,39.1,2,2,0,0,0.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,St Pauli,Nikola Vasilj,BIH,GK,29,1995,34,34,3060,34.0,60,1.76,183,123,67.2,6,8,20,5,14.7,6,3,2,1,40.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Stuttgart,Alexander Nübel,GER,GK,28,1996,34,34,3060,34.0,49,1.44,157,107,68.8,18,8,8,11,32.4,10,9,1,0,10.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Union Berlin,Carl Klaus,GER,GK,31,1994,4,3,330,3.7,4,1.09,13,9,69.2,2,1,0,1,33.3,0,0,0,0,,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Union Berlin,Frederik Rønnow,DEN,GK,32,1992,30,30,2640,29.3,54,1.84,131,75,58.8,7,8,15,5,16.7,6,6,0,0,0.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Union Berlin,Matheo Raab,GER,GK,26,1998,1,1,90,1.0,0,0.0,6,6,100.0,1,0,0,1,100.0,0,0,0,0,,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Werder Bremen,Karl Jakob Hein,EST,GK,23,2002,2,2,180,2.0,4,2.0,15,11,73.3,1,0,1,1,50.0,1,1,0,0,0.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Werder Bremen,Mio Backhaus,GER,GK,21,2004,32,32,2880,32.0,56,1.75,156,100,64.1,7,8,17,5,15.6,5,5,0,0,0.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
GER-Bundesliga,2526,Wolfsburg,Kamil Grabara,POL,GK,26,1999,34,34,3060,34.0,69,2.03,189,120,63.5,7,8,19,2,5.9,12,7,3,2,30.0,GER,2025-2026,keeper,fbref_soccerdata,2026-08-10 21:54:24
