league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
GER-Bundesliga,2526,Augsburg,Aiman Dardari,LUX,MF,20,2005,0.4,0,1,0,0.0,2.65,0.0,0.0,,0,0,GER,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:53:52
GER-Bundesliga,2526,Augsburg,Alexis Claude-Maurice,FRA,"MF,FW",27,1998,23.3,5,71,26,36.6,3.05,1.12,0.06,0.15,1,2,GER,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:53:52
GER-Bundesliga,2526,Augsburg,Anton Kade,GER,"MF,FW",21,2004,19.4,6,48,21,43.8,2.48,1.08,0.13,0.29,0,0,GER,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:53:52
GER-Bundesliga,2526,Augsburg,Arne Maier,GER,MF,26,1999,0.0,0,0,0,,0.0,0.0,,,0,0,GER,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:53:52
GER-Bundesliga,2526,Augsburg,Arthur Chaves,BRA,DF,24,2001,9.2,2,4,2,50.0,0.43,0.22,0.5,1.0,0,0,GER,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:53:52
GER-Bundesliga,2526,Augsburg,Cedric Zesiger,SUI,DF,27,1998,20.2,0,12,3,25.0,0.59,0.15,0.0,0.0,0,0,GER,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:53:52
GER-Bundesliga,2526,Augsburg,Chrislain Matsima,FRA,DF,23,2002,16.5,1,7,1,14.3,0.42,0.06,0.14,1.0,0,0,GER,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:53:52
GER-Bundesliga,2526,Augsburg,Dimitris Giannoulis,GRE,MF,29,1995,21.0,2,10,6,60.0,0.48,0.29,0.2,0.33,0,0,GER,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:53:52
GER-Bundesliga,2526,Augsburg,Elias Saad,TUN,"MF,FW",25,1999,5.5,0,6,3,50.0,1.09,0.54,0.0,0.0,0,0,GER,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:53:52
GER-Bundesliga,2526,Augsburg,Elvis Rexhbeçaj,KVX,MF,27,1997,12.4,2,11,5,45.5,0.89,0.4,0.18,0.4,0,0,GER,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:53:52
