league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
ENG-Premier League,2526,West Ham,Aaron Wan-Bissaka,COD,"DF,MF",27,1997,23.1,0,0,0,,0.0,0.0,,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Adama Traoré,ESP,"FW,MF",29,1996,1.3,0,2,0,0.0,1.49,0.0,0.0,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Alphonse Areola,FRA,GK,32,1993,20.0,0,0,0,,0.0,0.0,,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Andy Irving,SCO,MF,25,2000,1.8,0,0,0,,0.0,0.0,,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Axel Disasi,FRA,DF,27,1998,13.9,0,5,3,60.0,0.36,0.22,0.0,0.0,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Callum Marshall,NIR,FW,20,2004,0.7,0,1,0,0.0,1.5,0.0,0.0,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Callum Wilson,ENG,FW,33,1992,13.9,7,38,16,42.1,2.73,1.15,0.18,0.44,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Crysencio Summerville,NED,"MF,FW",23,2001,27.4,5,54,15,27.8,1.97,0.55,0.09,0.33,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,El Hadji Malick Diouf,SEN,"DF,MF",20,2004,30.1,0,18,4,22.2,0.6,0.13,0.0,0.0,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Ezra Mayers,BRB,DF,18,2007,1.3,0,1,0,0.0,0.77,0.0,0.0,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Freddie Potts,ENG,MF,21,2003,13.0,0,3,1,33.3,0.23,0.08,0.0,0.0,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,George Earthy,ENG,MF,20,2004,0.1,0,0,0,,0.0,0.0,,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Guido Rodríguez,ARG,MF,31,1994,2.0,0,1,0,0.0,0.5,0.0,0.0,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Igor,BRA,DF,27,1998,1.2,0,0,0,,0.0,0.0,,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,James Ward-Prowse,ENG,MF,30,1994,4.6,0,2,0,0.0,0.44,0.0,0.0,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Jarrod Bowen,ENG,"MF,FW",28,1996,37.8,9,79,28,35.4,2.09,0.74,0.1,0.29,1,1,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Jean-Clair Todibo,FRA,DF,25,1999,20.2,0,2,0,0.0,0.1,0.0,0.0,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Konstantinos Mavropanos,GRE,DF,27,1997,28.2,3,23,8,34.8,0.82,0.28,0.13,0.38,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Kyle Walker-Peters,ENG,DF,28,1997,15.4,1,5,3,60.0,0.33,0.2,0.2,0.33,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Lucas Paquetá,BRA,"MF,FW",27,1997,16.8,4,23,11,47.8,1.37,0.66,0.09,0.18,2,2,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,West Ham,Luis Guilherme,BRA,FW,19,2006,1.4,0,1,0,0.0,0.72,0.0,0.0,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
