league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2526,Atalanta,Ademola Lookman,NGA,"FW,MF",27,1997,8.8,2,27,8,29.6,3.06,0.91,0.07,0.25,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Berat Djimsiti,ALB,DF,32,1993,28.1,0,16,2,12.5,0.57,0.07,0.0,0.0,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Charles De Ketelaere,BEL,"MF,FW",24,2001,24.2,3,46,16,34.8,1.9,0.66,0.07,0.19,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Daniel Maldini,ITA,MF,23,2001,2.9,0,8,2,25.0,2.73,0.68,0.0,0.0,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Davide Zappacosta,ITA,MF,33,1992,28.5,3,37,9,24.3,1.3,0.32,0.08,0.33,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Dominic Vavassori,ITA,FW,19,2005,0.1,0,0,0,,0.0,0.0,,,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Giacomo Raspadori,ITA,"MF,FW",25,2000,8.8,3,28,11,39.3,3.17,1.24,0.11,0.27,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Gianluca Scamacca,ITA,FW,26,1999,14.6,10,57,22,38.6,3.9,1.51,0.14,0.36,2,2,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Giorgio Scalvini,ITA,DF,21,2003,20.1,3,20,6,30.0,1.0,0.3,0.15,0.5,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Honest Ahanor,ITA,DF,17,2008,15.3,0,13,4,30.8,0.85,0.26,0.0,0.0,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Isak Hien,SWE,DF,26,1999,21.9,1,9,3,33.3,0.41,0.14,0.11,0.33,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Kamaldeen Sulemana,GHA,MF,23,2002,11.2,2,25,10,40.0,2.23,0.89,0.08,0.2,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Lazar Samardzic,SRB,MF,23,2002,11.4,2,25,9,36.0,2.18,0.79,0.08,0.22,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Lorenzo Bernasconi,ITA,MF,21,2003,17.5,0,9,1,11.1,0.52,0.06,0.0,0.0,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Marco Brescianini,ITA,MF,25,2000,2.0,1,3,2,66.7,1.48,0.99,0.33,0.5,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Marco Carnesecchi,ITA,GK,25,2000,37.0,0,0,0,,0.0,0.0,,,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Marco Sportiello,ITA,GK,33,1992,1.0,0,0,0,,0.0,0.0,,,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Mario Pašalić,CRO,MF,30,1995,21.5,3,24,6,25.0,1.12,0.28,0.13,0.5,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Marten de Roon,NED,MF,34,1991,29.9,1,16,4,25.0,0.54,0.13,0.06,0.25,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Mitchel Bakker,NED,"DF,MF",25,2000,0.1,0,0,0,,0.0,0.0,,,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Nicola Zalewski,POL,MF,23,2002,21.1,2,38,7,18.4,1.8,0.33,0.05,0.29,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Nikola Krstović,MNE,FW,25,2000,19.9,10,99,34,34.3,4.97,1.71,0.1,0.29,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Odilon Kossounou,CIV,DF,24,2001,11.0,1,5,1,20.0,0.46,0.09,0.2,1.0,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Raoul Bellanova,ITA,MF,25,2000,15.3,0,13,5,38.5,0.85,0.33,0.0,0.0,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Sead Kolašinac,BIH,DF,32,1993,13.5,0,3,0,0.0,0.22,0.0,0.0,,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Yunus Musah,USA,MF,22,2002,6.4,1,7,2,28.6,1.1,0.31,0.14,0.5,0,0,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
ITA-Serie A,2526,Atalanta,Éderson Silva,BRA,MF,26,1999,24.8,2,35,11,31.4,1.41,0.44,0.03,0.09,1,1,ITA,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:59:01
