league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2425,Real Betis,Pablo Fornals,ESP,MF,28,1996,26,22,1827,20.3,2,0,2,2,0,0,2,0,0.1,0.0,0.1,0.1,0.1,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Betis,Pablo Garcia,ESP,FW,18,2006,3,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Betis,Ricardo Rodríguez,SUI,DF,31,1992,18,15,1274,14.2,0,1,1,0,0,0,0,0,0.0,0.07,0.07,0.0,0.07,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Betis,Rodri,ESP,MF,24,2000,3,1,118,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Betis,Romain Perraud,FRA,DF,26,1997,28,22,2002,22.2,2,2,4,2,0,0,8,1,0.09,0.09,0.18,0.09,0.18,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Betis,Rui Silva,POR,GK,30,1994,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Betis,Sergi Altimira,ESP,MF,22,2001,32,22,1972,21.9,0,1,1,0,0,0,4,0,0.0,0.05,0.05,0.0,0.05,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Betis,Sergio Arribas,ESP,DF,21,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Betis,Vitor Roque,BRA,FW,19,2005,22,14,1235,13.7,4,0,4,4,0,0,4,0,0.29,0.0,0.29,0.29,0.29,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Betis,William Carvalho,POR,MF,32,1992,14,6,484,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Betis,Youssouf Sabaly,SEN,DF,31,1993,22,20,1581,17.6,0,1,1,0,0,0,1,0,0.0,0.06,0.06,0.0,0.06,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Betis,Ángel Ortíz,ESP,DF,20,2004,5,4,353,3.9,0,1,1,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Andriy Lunin,UKR,GK,25,1999,7,7,630,7.0,0,1,1,0,0,0,0,0,0.0,0.14,0.14,0.0,0.14,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Antonio Rüdiger,GER,DF,31,1993,29,26,2291,25.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Arda Güler,TUR,"MF,FW",19,2005,28,14,1250,13.9,3,4,7,3,0,0,1,0,0.22,0.29,0.5,0.22,0.5,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Aurélien Tchouaméni,FRA,"DF,MF",24,2000,32,31,2689,29.9,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Brahim Díaz,MAR,"MF,FW",24,1999,31,16,1385,15.4,4,2,6,4,0,0,0,0,0.26,0.13,0.39,0.26,0.39,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Chema,ESP,MF,19,2005,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Dani Carvajal,ESP,DF,32,1992,8,7,609,6.8,1,0,1,1,0,0,1,0,0.15,0.0,0.15,0.15,0.15,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Dani Ceballos,ESP,MF,27,1996,23,15,1215,13.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Daniel Yáñez,ESP,MF,17,2007,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,David Alaba,AUT,DF,32,1992,7,4,317,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Eduardo Camavinga,FRA,"MF,DF",21,2002,19,11,1102,12.2,1,2,3,1,0,0,2,0,0.08,0.16,0.25,0.08,0.25,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Endrick,BRA,FW,18,2006,22,3,363,4.0,1,0,1,1,0,0,1,0,0.25,0.0,0.25,0.25,0.25,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Federico Valverde,URU,"MF,DF",26,1998,36,34,3032,33.7,6,4,10,6,0,0,4,0,0.18,0.12,0.3,0.18,0.3,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Ferland Mendy,FRA,DF,29,1995,14,12,1005,11.2,0,1,1,0,0,0,1,1,0.0,0.09,0.09,0.0,0.09,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Fran,ESP,GK,19,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Fran Garcia,ESP,DF,24,1999,31,24,2171,24.1,0,2,2,0,0,0,0,0,0.0,0.08,0.08,0.0,0.08,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Gonzalo García,ESP,FW,20,2004,3,0,56,0.6,0,1,1,0,0,0,0,0,0.0,1.61,1.61,0.0,1.61,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Jacobo Ramón,ESP,DF,19,2005,3,2,204,2.3,1,0,1,1,0,0,1,0,0.44,0.0,0.44,0.44,0.44,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Jesús Vallejo,ESP,DF,27,1997,4,1,138,1.5,0,1,1,0,0,0,0,0,0.0,0.65,0.65,0.0,0.65,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Jude Bellingham,ENG,MF,21,2003,31,29,2488,27.6,9,8,17,8,1,2,5,1,0.33,0.29,0.61,0.29,0.58,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
ESP-La Liga,2425,Real Madrid,Kylian Mbappé,FRA,FW,25,1998,34,34,2907,32.3,31,3,34,24,7,9,3,1,0.96,0.09,1.05,0.74,0.84,ESP,2024-2025,standard,fbref_soccerdata,2026-08-10 21:46:50
