league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_source,_scraped_at
FRA-Ligue 1,2526,Rennes,Lucas Rosier,FRA,FW,18,2007,2,2,1,0.1,0.0,0,,0,2,1,2,3.0,0,1,-1,-45.0,-45.29,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Rennes,Ludovic Blas,FRA,"MF,FW",27,1997,32,1546,48,50.5,17.2,15,77,2,17,23,1,1.78,27,30,-3,-0.17,-0.89,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Rennes,Mahamadou Nagida,CMR,DF,20,2005,19,805,42,26.3,8.9,7,84,4,12,18,14,1.89,16,14,2,0.22,-0.06,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Rennes,Mahdi Camara,FRA,MF,27,1998,32,2653,83,86.7,29.5,31,85,23,1,27,0,1.72,54,41,13,0.44,1.33,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Rennes,Mathys Silestrie,FRA,GK,19,2005,2,180,90,5.9,2.0,2,90,2,0,,29,0.0,2,6,-4,-2.0,-2.41,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Rennes,Mikayil Ngor Faye,SEN,MF,21,2004,1,8,8,0.3,0.1,0,,0,1,8,1,1.0,0,0,0,0.0,-0.27,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Rennes,Musa Al-Taamari,JOR,"MF,FW",28,1997,33,2212,67,72.3,24.6,25,79,4,8,31,0,1.79,45,32,13,0.53,0.95,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Rennes,Nordan Mukiele,FRA,MF,19,2006,8,96,12,3.1,1.1,0,,0,8,12,12,2.0,4,0,4,3.75,3.6,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Rennes,Paolo Limon,FRA,MF,19,2005,0,,,,,0,,0,0,,1,,,,,,,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Rennes,Przemysław Frankowski,POL,"MF,DF",30,1995,19,1210,64,39.5,13.4,15,75,5,4,21,1,1.68,20,16,4,0.3,0.05,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
FRA-Ligue 1,2526,Rennes,Quentin Merlin,FRA,"DF,MF",23,2002,33,2533,77,82.8,28.1,27,87,23,6,32,1,1.76,45,43,2,0.07,-1.12,FRA,2025-2026,playing_time,fbref_soccerdata,2026-08-10 22:05:22
