league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2324,Alavés,Abde Rebbach,ALG,MF,24,1998,8.0,1,17,4,23.5,2.12,0.5,0.06,0.25,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Abdel Abqar,MAR,DF,24,1999,25.7,0,10,3,30.0,0.39,0.12,0.0,0.0,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Aleksandar Sedlar,SRB,DF,31,1991,10.5,1,4,1,25.0,0.38,0.1,0.25,1.0,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Alex Sola,ESP,MF,24,1999,14.0,0,28,7,25.0,2.0,0.5,0.0,0.0,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Ander Guevara,ESP,MF,26,1997,32.6,1,16,3,18.8,0.49,0.09,0.06,0.33,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Andoni Gorosabel,ESP,DF,26,1996,31.7,1,15,6,40.0,0.47,0.19,0.07,0.17,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Antonio Blanco,ESP,MF,23,2000,27.0,0,20,3,15.0,0.74,0.11,0.0,0.0,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,26,1996,34.0,0,0,0,,0.0,0.0,,,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Carlos Benavídez,URU,MF,25,1998,12.6,3,14,7,50.0,1.11,0.55,0.21,0.43,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Carlos Vicente,ESP,MF,24,1999,12.4,2,15,8,53.3,1.21,0.65,0.13,0.25,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Eneko Ortiz,ESP,MF,20,2003,0.2,0,0,0,,0.0,0.0,,,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Giuliano Simeone,ARG,MF,20,2002,7.0,1,15,3,20.0,2.14,0.43,0.07,0.33,0,1,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Ianis Hagi,ROU,MF,24,1998,8.9,0,27,9,33.3,3.02,1.01,0.0,0.0,0,1,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Javi López,ESP,DF,21,2002,26.5,1,18,3,16.7,0.68,0.11,0.06,0.33,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Jesús Owono,EQG,GK,22,2001,4.0,0,0,0,,0.0,0.0,,,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Joaquín Panichelli,ARG,"MF,FW",20,2002,2.5,0,9,2,22.2,3.58,0.8,0.0,0.0,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Jon Guridi,ESP,MF,28,1995,29.8,3,36,8,22.2,1.21,0.27,0.08,0.38,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Jon Karrikaburu,ESP,FW,20,2002,0.2,0,0,0,,0.0,0.0,,,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Kiké,ESP,FW,33,1989,15.8,3,57,26,45.6,3.61,1.64,0.05,0.12,0,1,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Luis Rioja,ESP,MF,29,1993,27.8,5,57,19,33.3,2.05,0.68,0.04,0.11,3,4,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Mamadou Sylla,SEN,FW,29,1994,0.2,0,0,0,,0.0,0.0,,,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Miguel,ESP,FW,23,1999,0.7,0,2,1,50.0,2.77,1.38,0.0,0.0,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Nahuel Tenaglia,ARG,DF,27,1996,12.7,1,8,1,12.5,0.63,0.08,0.13,1.0,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Rafa Marín,ESP,DF,21,2002,27.1,0,13,3,23.1,0.48,0.11,0.0,0.0,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Rubén Duarte,ESP,DF,27,1995,20.9,2,15,5,33.3,0.72,0.24,0.13,0.4,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Samu Omorodion,ESP,FW,19,2004,21.3,8,64,25,39.1,3.0,1.17,0.13,0.32,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Tomás Mendes,ESP,MF,18,2004,0.1,0,0,0,,0.0,0.0,,,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Unai Ropero,ESP,FW,21,2001,0.1,0,0,0,,0.0,0.0,,,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Victor Parada,ESP,DF,21,2002,0.0,0,0,0,,0.0,0.0,,,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Alavés,Xeber,ESP,"MF,FW",26,1997,3.4,0,5,0,0.0,1.49,0.0,0.0,,0,0,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
ESP-La Liga,2324,Almería,Adri Embarba,ESP,"MF,FW",31,1992,27.5,3,64,25,39.1,2.33,0.91,0.03,0.08,1,1,ESP,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:45:04
