league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2324,Atalanta,Éderson Silva,BRA,MF,24,1999,31.9,6,38,11,28.9,1.19,0.35,0.16,0.55,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Alexis Saelemaekers,BEL,MF,24,1999,21.0,4,29,10,34.5,1.38,0.48,0.14,0.4,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Babis Lykogiannis,GRE,DF,29,1993,10.0,2,15,4,26.7,1.49,0.4,0.13,0.5,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Dan Ndoye,SUI,"MF,FW",22,2000,19.7,1,41,16,39.0,2.08,0.81,0.02,0.06,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Federico Ravaglia,ITA,GK,23,1999,5.9,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Giovanni Fabbian,ITA,MF,20,2003,11.7,5,28,10,35.7,2.38,0.85,0.18,0.5,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Jens Odgaard,DEN,"MF,FW",24,1999,4.8,2,11,2,18.2,2.3,0.42,0.18,1.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Jesper Karlsson,SWE,MF,25,1998,3.8,0,6,4,66.7,1.57,1.05,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Jhon Lucumí,COL,DF,25,1998,24.6,0,11,2,18.2,0.45,0.08,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Joshua Zirkzee,NED,FW,22,2001,30.7,11,86,31,36.0,2.81,1.01,0.1,0.29,2,2,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Kacper Urbanski,POL,"MF,FW",18,2004,10.3,0,17,6,35.3,1.65,0.58,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Kevin Bonifazi,ITA,DF,27,1996,1.0,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Lewis Ferguson,SCO,MF,23,1999,30.1,6,59,20,33.9,1.96,0.66,0.1,0.3,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Lorenzo De Silvestri,ITA,DF,35,1988,7.5,2,4,2,50.0,0.53,0.27,0.5,1.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Michel Aebischer,SUI,MF,26,1997,24.8,0,18,5,27.8,0.73,0.2,0.0,0.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Nicola Bagnolini,ITA,GK,19,2004,0.1,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Nicolás Domínguez,ARG,MF,25,1998,1.1,0,0,0,,0.0,0.0,,,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Nikola Moro,CRO,"MF,FW",25,1998,9.3,1,11,1,9.1,1.18,0.11,0.09,1.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Oussama El Azzouzi,MAR,MF,22,2001,6.1,2,2,2,100.0,0.33,0.33,1.0,1.0,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Remo Freuler,SUI,MF,31,1992,29.2,1,14,4,28.6,0.48,0.14,0.07,0.25,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Riccardo Calafiori,ITA,DF,21,2002,26.1,2,17,6,35.3,0.65,0.23,0.12,0.33,0,0,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
ITA-Serie A,2324,Bologna,Riccardo Orsolini,ITA,MF,26,1997,19.9,10,59,25,42.4,2.96,1.26,0.14,0.32,2,3,ITA,2023-2024,shooting,fbref_soccerdata,2026-08-10 21:55:14
