league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2324,Atalanta,Nadir Zortea,ITA,"DF,MF",24,1999,5,0,149,1.7,1,0,1,1,0,0,1,0,0.6,0.0,0.6,0.6,0.6,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Rafael Tolói,ITA,DF,32,1990,18,10,965,10.7,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Sead Kolašinac,BIH,DF,30,1993,30,25,2178,24.2,1,0,1,1,0,0,4,0,0.04,0.0,0.04,0.04,0.04,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Teun Koopmeiners,NED,MF,25,1998,34,29,2627,29.2,12,5,17,10,2,2,5,0,0.41,0.17,0.58,0.34,0.51,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Atalanta,Éderson Silva,BRA,MF,24,1999,36,32,2869,31.9,6,1,7,6,0,0,8,0,0.19,0.03,0.22,0.19,0.22,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Alexis Saelemaekers,BEL,MF,24,1999,30,21,1887,21.0,4,2,6,4,0,0,7,1,0.19,0.1,0.29,0.19,0.29,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Babis Lykogiannis,GRE,DF,29,1993,22,10,904,10.0,2,1,3,2,0,0,2,0,0.2,0.1,0.3,0.2,0.3,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Dan Ndoye,SUI,"MF,FW",22,2000,32,20,1771,19.7,1,1,2,1,0,0,4,0,0.05,0.05,0.1,0.05,0.1,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Federico Ravaglia,ITA,GK,23,1999,6,6,535,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Giovanni Fabbian,ITA,MF,20,2003,27,11,1057,11.7,5,2,7,5,0,0,4,0,0.43,0.17,0.6,0.43,0.6,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Jens Odgaard,DEN,"MF,FW",24,1999,10,5,431,4.8,2,0,2,2,0,0,1,0,0.42,0.0,0.42,0.42,0.42,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Jesper Karlsson,SWE,MF,25,1998,7,4,344,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Jhon Lucumí,COL,DF,25,1998,29,23,2217,24.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Joshua Zirkzee,NED,FW,22,2001,34,32,2759,30.7,11,4,15,9,2,2,8,0,0.36,0.13,0.49,0.29,0.42,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Kacper Urbanski,POL,"MF,FW",18,2004,22,9,926,10.3,0,1,1,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Kevin Bonifazi,ITA,DF,27,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Lewis Ferguson,SCO,MF,23,1999,31,31,2712,30.1,6,3,9,6,0,0,8,0,0.2,0.1,0.3,0.2,0.3,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Lorenzo De Silvestri,ITA,DF,35,1988,15,7,674,7.5,2,0,2,2,0,0,0,0,0.27,0.0,0.27,0.27,0.27,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Michel Aebischer,SUI,MF,26,1997,36,26,2230,24.8,0,1,1,0,0,0,8,0,0.0,0.04,0.04,0.0,0.04,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Nicola Bagnolini,ITA,GK,19,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Nicolás Domínguez,ARG,MF,25,1998,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Nikola Moro,CRO,"MF,FW",25,1998,23,10,840,9.3,1,0,1,1,0,0,0,0,0.11,0.0,0.11,0.11,0.11,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Oussama El Azzouzi,MAR,MF,22,2001,18,5,547,6.1,2,2,4,2,0,0,4,0,0.33,0.33,0.66,0.33,0.66,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Remo Freuler,SUI,MF,31,1992,32,30,2624,29.2,1,1,2,1,0,0,9,0,0.03,0.03,0.07,0.03,0.07,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Riccardo Calafiori,ITA,DF,21,2002,30,26,2349,26.1,2,5,7,2,0,0,4,0,0.08,0.19,0.27,0.08,0.27,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Riccardo Orsolini,ITA,MF,26,1997,33,19,1792,19.9,10,2,12,8,2,3,2,0,0.5,0.1,0.6,0.4,0.5,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Sam Beukema,NED,DF,24,1998,30,29,2547,28.3,1,1,2,1,0,0,6,1,0.04,0.04,0.07,0.04,0.07,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Santiago Castro,ARG,FW,18,2004,8,2,242,2.7,1,1,2,1,0,0,1,0,0.37,0.37,0.74,0.37,0.74,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Stefan Posch,AUT,DF,26,1997,31,29,2409,26.8,1,2,3,1,0,0,7,0,0.04,0.07,0.11,0.04,0.11,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Sydney van Hooijdonk,NED,FW,23,2000,9,2,212,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Tommaso Corazza,ITA,DF,19,2004,9,1,195,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
ITA-Serie A,2324,Bologna,Victor Bernth Kristiansen,DEN,DF,20,2002,32,26,2307,25.6,0,3,3,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,ITA,2023-2024,standard,fbref_soccerdata,2026-08-10 21:54:53
