league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_source,_scraped_at
FRA-Ligue 1,2425,Angers,Yahia Fofana,CIV,GK,23,2000,33.0,4,0,0,0,11,0,0,1,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Yassin Belkhdim,FRA,MF,22,2002,16.9,4,0,0,28,15,2,16,21,27,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Zinedine Ferhat,ALG,MF,31,1993,9.4,1,0,0,11,15,2,68,10,7,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Angers,Zinédine Ould Khaled,FRA,MF,24,2000,3.8,1,0,0,8,4,0,1,2,8,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Ado Onaiwu,JPN,"MF,FW",28,1995,10.6,1,1,0,9,12,3,7,3,7,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Aristide Zossou,CIV,MF,19,2005,0.2,0,0,0,2,0,0,1,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Assane Dioussé,SEN,MF,26,1997,7.4,1,0,0,18,11,0,1,11,8,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Ben Viadere,FRA,FW,18,2005,0.1,0,0,0,0,0,0,4,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Clément Akpa,CIV,DF,22,2001,27.6,7,0,0,15,35,0,26,40,33,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Donovan Léon,GUF,GK,31,1992,32.0,4,0,0,1,4,0,0,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Elisha Owusu,GHA,MF,26,1997,26.0,7,0,0,48,21,0,10,39,42,,,1,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Eros Maddy,NED,"FW,MF",23,2001,0.2,1,0,0,3,0,0,0,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Florian Ayé,FRA,FW,27,1997,6.4,0,0,0,10,6,3,2,7,1,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Fredrik Oppegard,NOR,"MF,DF",21,2002,3.0,0,0,0,3,4,1,6,2,3,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Gabriel Osho,NGA,DF,25,1998,18.4,1,1,0,11,10,0,3,13,16,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Gaëtan Perrin,FRA,MF,28,1996,29.9,2,0,0,24,20,9,161,12,27,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Gideon Mensah,GHA,"DF,MF",26,1998,25.3,2,0,0,33,26,1,76,49,46,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Hamed Junior Traorè,CIV,MF,24,2000,23.3,5,0,0,30,40,7,42,7,21,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Han-Noah Massengo,FRA,MF,23,2001,11.6,5,0,0,17,21,0,9,17,11,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Jubal,BRA,DF,30,1993,29.3,7,0,0,27,21,1,0,27,40,,,1,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Ki-Jana Hoever,NED,"DF,MF",22,2002,23.6,4,1,1,22,12,0,77,20,40,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Kévin Danois,FRA,MF,20,2004,16.2,1,0,0,22,18,2,15,20,31,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Lassine Sinayoko,MLI,"FW,MF",24,1999,25.5,5,0,0,36,33,13,25,13,20,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Lasso Coulibaly,CIV,MF,21,2002,0.5,0,0,0,0,1,0,2,0,1,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Loïc N'Gatta,FRA,DF,20,2003,0.1,1,0,0,1,0,0,1,0,1,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Paul Joly,FRA,"DF,MF",24,2000,11.2,3,1,0,10,27,0,55,26,31,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Rayan Raveloson,MAD,"MF,DF",27,1997,8.0,3,0,0,10,12,0,8,5,5,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Rudy Matondo,FRA,MF,16,2008,0.7,1,0,0,4,3,0,0,0,1,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Sinaly Diomande,CIV,DF,23,2001,21.6,6,0,0,24,19,0,1,31,19,,,1,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Theo Bair,CAN,FW,24,1999,10.4,1,0,0,20,5,8,7,3,3,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Théo De Percin,MTQ,GK,23,2001,2.0,0,0,0,0,0,0,0,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Théo Pellenard,FRA,DF,30,1994,0.5,0,0,0,4,1,0,2,0,2,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Auxerre,Yoann Cissé,FRA,MF,19,2004,0.1,0,0,0,0,0,0,3,1,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Abdallah Sima,SEN,"FW,MF",23,2001,13.8,2,0,0,16,25,4,16,1,11,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Abdoulaye Ndiaye,SEN,DF,22,2002,19.0,4,1,0,21,18,0,2,12,32,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Axel Camblan,FRA,FW,20,2003,0.3,0,0,0,0,0,0,1,0,1,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Bradley Locko,FRA,DF,22,2002,1.1,1,0,0,1,0,0,1,0,2,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Brendan Chardonnet,FRA,DF,29,1994,26.8,6,0,0,36,20,0,3,28,34,,,1,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Edimilson Fernandes,SUI,"MF,DF",28,1996,12.3,1,0,0,7,6,0,10,18,7,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Grégoire Coudert,FRA,GK,25,1999,2.0,0,0,0,0,0,0,0,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Hamidou Makalou,MLI,MF,18,2006,0.4,0,0,0,0,0,0,0,0,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Hianga'a Mbock,FRA,MF,24,1999,0.2,0,0,0,1,0,0,0,1,0,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Hugo Magnetti,FRA,MF,26,1998,25.8,5,0,0,29,22,0,18,17,32,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Ibrahim Salah,MAR,"MF,FW",22,2001,4.0,0,0,0,6,3,2,15,2,2,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Jonas Martin,FRA,MF,34,1990,5.5,2,0,0,7,10,0,3,8,7,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Jordan Amavi,FRA,DF,30,1994,8.8,2,0,0,15,6,0,15,7,17,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Julien Le Cardinal,FRA,DF,26,1997,15.3,3,0,0,12,12,0,6,34,15,,,1,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
FRA-Ligue 1,2425,Brest,Justin Bourgault,FRA,DF,18,2005,1.4,0,0,0,1,1,0,4,0,1,,,0,FRA,2024-2025,misc,fbref_soccerdata,2026-08-10 22:04:36
