league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_source,_scraped_at
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,31,1993,9.2,1,0,0,11,1,1,0,5,2,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,Donyell Malen,NED,MF,25,1999,3.4,0,0,0,1,5,2,8,0,4,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,Emi Buendía,ARG,"FW,MF",27,1996,1.1,1,0,0,4,6,0,0,0,5,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,31,1992,35.5,5,1,0,2,5,0,0,0,3,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,26,1997,32.6,1,0,0,9,47,1,5,24,20,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,22,2002,12.7,2,0,0,11,9,3,51,18,18,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,MF,23,2001,18.0,4,1,1,13,28,5,11,8,15,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,MF,22,2002,3.7,4,1,1,13,8,1,4,3,5,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,MF,29,1994,24.7,7,0,0,43,69,3,60,11,23,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,Jáder Durán,COL,FW,20,2003,7.1,3,1,0,14,15,5,3,0,7,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,18,2005,1.4,0,0,0,0,1,0,1,1,4,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",20,2004,5.3,2,0,0,8,11,0,0,1,6,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,MF,26,1997,12.7,3,0,0,12,18,3,34,4,4,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31,1993,26.1,4,0,0,21,16,7,140,22,36,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,Marco Asensio,ESP,MF,28,1996,8.3,2,0,0,11,8,2,38,2,5,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,Marcus Rashford,ENG,"FW,MF",26,1997,4.9,0,0,0,1,3,1,28,1,7,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,DF,26,1997,23.0,7,0,0,27,20,1,40,22,31,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,MF,22,2002,34.6,10,0,0,49,51,2,28,6,22,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
