league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_source,_scraped_at
FRA-Ligue 1,2425,Angers,Abdoulaye Bamba,CIV,DF,34,1990,19,1510,79,49.3,16.8,16,88,14,3,33,12,0.79,11,29,-18,-1.07,-0.9,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Amine Moussaoui,FRA,FW,17,2006,0,,,,,0,,0,0,,5,,,,,,,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Bamba Dieng,SEN,FW,24,2000,18,532,30,17.4,5.9,5,67,1,13,15,3,0.89,8,10,-2,-0.34,0.34,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Carlens Arcus,HAI,DF,28,1996,28,2047,73,66.9,22.7,25,79,13,3,28,2,1.0,22,35,-13,-0.57,0.14,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Cédric Hountondji,BEN,DF,30,1994,3,270,90,8.8,3.0,3,90,3,0,,10,0.0,1,7,-6,-2.0,-1.52,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Emmanuel Biumla,FRA,DF,19,2005,17,1336,79,43.7,14.8,15,87,14,2,16,4,1.18,19,21,-2,-0.13,0.86,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Enzo Caumont,FRA,MF,20,2004,2,34,17,1.1,0.4,0,,0,2,17,2,1.5,0,1,-1,-2.65,-2.05,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Esteban Lepaul,FRA,FW,24,2000,28,1629,58,53.2,18.1,18,83,9,10,13,4,1.18,16,26,-10,-0.55,0.14,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Farid El Melali,ALG,"MF,FW",27,1997,32,1893,59,61.9,21.0,22,73,3,10,29,0,1.13,20,34,-14,-0.67,-0.13,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Florent Hanin,ALG,DF,34,1990,33,2672,81,87.3,29.7,31,85,21,2,21,1,1.09,30,46,-16,-0.54,0.62,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Haris Belkebla,ALG,MF,30,1994,22,1792,81,58.6,19.9,21,85,17,1,14,0,1.18,20,26,-6,-0.3,0.76,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Himad Abdelli,ALG,MF,24,1999,32,2842,89,92.9,31.6,32,89,25,0,,0,1.03,28,50,-22,-0.7,-1.11,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Ibrahima Niane,SEN,FW,25,1999,24,943,39,30.8,10.5,8,79,2,16,19,1,1.04,13,19,-6,-0.57,0.07,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Jacques Ekomie,GAB,"DF,MF",20,2003,18,697,39,22.8,7.7,7,74,1,11,16,10,0.72,5,10,-5,-0.65,-0.04,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Jean-Eudes Aholou,CIV,MF,30,1994,26,1959,75,64.0,21.8,26,75,7,0,,1,1.12,18,31,-13,-0.6,0.06,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Jim Allevinah,GAB,MF,29,1995,28,1750,63,57.2,19.4,23,69,1,5,33,0,1.29,17,28,-11,-0.57,0.12,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Jordan Lefort,MTN,DF,30,1993,34,3060,90,100.0,34.0,34,90,34,0,,0,1.06,32,53,-21,-0.62,,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Joseph Lopy,SEN,"DF,MF",32,1992,0,,,,,0,,0,0,,5,,,,,,,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Justin-Noël Kalumba,FRA,FW,19,2004,2,31,16,1.0,0.3,0,,0,2,16,6,0.5,1,1,0,0.0,0.62,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Lanroy Machine,FRA,MF,18,2005,2,8,4,0.3,0.1,0,,0,2,4,1,1.5,0,0,0,0.0,0.62,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Lilian Raolisoa,FRA,"DF,MF",24,2000,29,1318,45,43.1,14.6,14,72,4,15,21,1,1.0,15,24,-9,-0.61,0.01,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Lois Diony,FRA,FW,31,1992,1,21,21,0.7,0.2,0,,0,1,21,0,0.0,0,0,0,0.0,0.62,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
FRA-Ligue 1,2425,Angers,Marius Courcoul,FRA,MF,17,2007,8,309,39,10.1,3.4,3,79,1,5,15,11,0.88,4,5,-1,-0.29,0.36,FRA,2024-2025,playing_time,fbref_soccerdata,2026-08-10 22:04:14
