league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2324,Atalanta,Ademola Lookman,NGA,"FW,MF",25,1997,21.0,4,0,0,28,34,12,69,9,15,,,0,ITA,2023-2024,misc,fbref_soccerdata,2026-08-10 21:55:54
ITA-Serie A,2324,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",27,1995,13.1,1,0,0,12,31,3,83,3,6,,,0,ITA,2023-2024,misc,fbref_soccerdata,2026-08-10 21:55:54
ITA-Serie A,2324,Atalanta,Berat Djimsiti,ALB,DF,30,1993,31.5,5,0,0,17,11,0,6,59,24,,,0,ITA,2023-2024,misc,fbref_soccerdata,2026-08-10 21:55:54
ITA-Serie A,2324,Atalanta,Charles De Ketelaere,BEL,"FW,MF",22,2001,22.5,1,0,0,17,47,6,47,6,21,,,1,ITA,2023-2024,misc,fbref_soccerdata,2026-08-10 21:55:54
ITA-Serie A,2324,Atalanta,Davide Zappacosta,ITA,MF,31,1992,20.7,5,0,0,26,15,2,75,5,21,,,0,ITA,2023-2024,misc,fbref_soccerdata,2026-08-10 21:55:54
ITA-Serie A,2324,Atalanta,Duván Zapata,COL,FW,32,1991,1.2,0,0,0,1,4,1,6,0,0,,,0,ITA,2023-2024,misc,fbref_soccerdata,2026-08-10 21:55:54
ITA-Serie A,2324,Atalanta,El Bilal Touré,MLI,FW,21,2001,4.4,2,0,0,13,8,3,2,1,1,,,0,ITA,2023-2024,misc,fbref_soccerdata,2026-08-10 21:55:54
ITA-Serie A,2324,Atalanta,Emil Holm,SWE,MF,23,2000,10.5,5,0,0,14,21,1,34,7,20,,,0,ITA,2023-2024,misc,fbref_soccerdata,2026-08-10 21:55:54
ITA-Serie A,2324,Atalanta,Francesco Rossi,ITA,GK,32,1991,0.1,0,0,0,0,0,0,0,0,0,,,0,ITA,2023-2024,misc,fbref_soccerdata,2026-08-10 21:55:54
ITA-Serie A,2324,Atalanta,Gianluca Scamacca,ITA,FW,24,1999,16.1,1,0,0,28,28,9,5,4,9,,,0,ITA,2023-2024,misc,fbref_soccerdata,2026-08-10 21:55:54
ITA-Serie A,2324,Atalanta,Giorgio Scalvini,ITA,DF,19,2003,28.3,3,0,0,48,11,4,5,57,30,,,0,ITA,2023-2024,misc,fbref_soccerdata,2026-08-10 21:55:54
ITA-Serie A,2324,Atalanta,Giovanni Bonfanti,ITA,DF,20,2003,1.0,0,0,0,2,1,0,2,1,2,,,0,ITA,2023-2024,misc,fbref_soccerdata,2026-08-10 21:55:54
ITA-Serie A,2324,Atalanta,Hans Hateboer,NED,MF,29,1994,12.4,5,0,0,16,3,0,35,4,5,,,0,ITA,2023-2024,misc,fbref_soccerdata,2026-08-10 21:55:54
