league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2425,Atalanta,Rafael Tolói,ITA,DF,33,1990,5.2,1,0,0,6,2,0,2,7,5,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Raoul Bellanova,ITA,MF,24,2000,26.7,3,0,0,15,33,0,155,19,13,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Rui Patrício,POR,GK,36,1988,3.0,0,0,0,0,0,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Sead Kolašinac,BIH,DF,31,1993,21.1,7,0,0,38,20,3,10,27,26,,,1,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Stefan Posch,AUT,DF,27,1997,4.3,0,0,0,11,0,0,5,4,11,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Vanja Vlahović,SRB,MF,20,2004,0.7,0,0,0,0,3,0,0,0,1,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Atalanta,Éderson Silva,BRA,MF,25,1999,32.0,5,1,1,31,53,0,23,33,33,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Babis Lykogiannis,GRE,DF,30,1993,11.6,3,0,0,10,7,2,105,14,14,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Benjamín Domínguez,ARG,MF,20,2003,14.2,0,0,0,10,31,4,11,4,8,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Dan Ndoye,SUI,"MF,FW",23,2000,23.8,4,0,0,23,101,13,43,9,20,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Davide Calabria,ITA,DF,27,1996,7.0,3,0,0,7,5,0,16,4,7,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Emil Holm,SWE,DF,24,2000,12.6,3,0,0,16,24,1,42,9,21,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Estanis,ESP,FW,20,2003,0.1,0,0,0,1,0,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Federico Ravaglia,ITA,GK,24,1999,11.7,0,0,0,0,4,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Giovanni Fabbian,ITA,MF,21,2003,11.4,2,0,0,21,22,1,8,2,6,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Jens Odgaard,DEN,MF,25,1999,21.7,1,0,0,42,44,4,23,10,13,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Jesper Karlsson,SWE,"MF,FW",26,1998,3.3,1,0,0,6,4,1,4,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Jhon Lucumí,COL,DF,26,1998,29.0,8,1,0,22,16,0,4,24,29,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Juan Miranda,ESP,DF,24,2000,25.3,4,1,0,27,32,2,212,23,20,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Kacper Urbanski,POL,MF,19,2004,2.7,2,0,0,5,3,0,8,2,2,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Bologna,Lewis Ferguson,SCO,MF,24,1999,10.9,0,0,0,26,20,1,17,4,15,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
