league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2324,Alavés,Abde Rebbach,ALG,MF,24,1998,23,722,31,21.1,8.0,6,64,0,17,20,15,0.7,5,6,-1,-0.12,0.18,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Abdel Abqar,MAR,DF,24,1999,27,2312,86,67.6,25.7,27,86,23,0,,4,1.07,21,30,-9,-0.35,-0.27,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Adrian Rodriguez,ESP,GK,22,2000,0,,,,,0,,0,0,,16,,,,,,,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Aleksandar Sedlar,SRB,DF,31,1991,11,946,86,27.7,10.5,11,86,8,0,,1,1.09,10,14,-4,-0.38,-0.16,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Alex Sola,ESP,MF,24,1999,29,1262,44,36.9,14.0,14,71,3,15,18,6,1.24,9,20,-11,-0.78,-0.83,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Ander Guevara,ESP,MF,26,1997,37,2932,79,85.7,32.6,33,86,23,4,22,0,1.24,31,41,-10,-0.31,-0.31,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Ander Sánchez,ESP,MF,19,2004,0,,,,,0,,0,0,,3,,,,,,,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Andoni Gorosabel,ESP,DF,26,1996,36,2854,79,83.5,31.7,33,85,21,3,13,1,1.25,28,35,-7,-0.22,0.26,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Antonio Blanco,ESP,MF,23,2000,33,2426,74,70.9,27.0,29,82,16,4,11,2,1.3,22,30,-8,-0.3,-0.12,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,26,1996,34,3060,90,89.5,34.0,34,90,34,0,,4,1.21,32,38,-6,-0.18,0.82,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Carlos Benavídez,URU,MF,25,1998,29,1136,39,33.2,12.6,10,79,5,19,18,4,1.34,19,13,6,0.48,1.11,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Carlos Vicente,ESP,MF,24,1999,18,1114,62,32.6,12.4,12,79,2,6,28,1,1.67,17,13,4,0.32,0.87,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Egoitz Muñoz,ESP,DF,18,2005,0,,,,,0,,0,0,,5,,,,,,,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Eneko Ortiz,ESP,MF,20,2003,1,14,14,0.4,0.2,0,,0,1,14,8,1.0,0,0,0,0.0,0.26,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Gaizka García,ESP,GK,18,2005,0,,,,,0,,0,0,,2,,,,,,,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,George Gagua,GEO,FW,21,2001,0,,,,,0,,0,0,,1,,,,,,,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Giuliano Simeone,ARG,MF,20,2002,14,630,45,18.4,7.0,6,84,1,8,16,6,1.5,9,5,4,0.57,1.02,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Ianis Hagi,ROU,MF,24,1998,22,804,37,23.5,8.9,8,69,1,14,18,13,0.82,4,13,-9,-1.01,-0.97,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Javi López,ESP,DF,21,2002,32,2386,75,69.8,26.5,25,88,20,7,28,5,1.31,29,28,1,0.04,1.0,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Jesús Owono,EQG,GK,22,2001,4,360,90,10.5,4.0,4,90,4,0,,31,1.25,4,8,-4,-1.0,-0.82,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Joaquín Panichelli,ARG,"MF,FW",20,2002,8,226,28,6.6,2.5,2,73,0,6,13,8,1.0,3,4,-1,-0.4,-0.14,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Jon Guridi,ESP,MF,28,1995,36,2678,74,78.3,29.8,34,77,10,2,36,1,1.28,30,32,-2,-0.07,0.9,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Jon Karrikaburu,ESP,FW,20,2002,2,16,8,0.5,0.2,0,,0,2,8,13,0.0,0,1,-1,-5.63,-5.39,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Joseda,ESP,DF,22,2001,0,,,,,0,,0,0,,4,,,,,,,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Kiké,ESP,FW,33,1989,33,1423,43,41.6,15.8,15,71,1,18,20,4,1.24,19,15,4,0.25,0.88,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Luis Rioja,ESP,MF,29,1993,37,2498,68,73.0,27.8,31,78,5,6,11,1,1.22,25,36,-11,-0.4,-0.49,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Mamadou Sylla,SEN,FW,29,1994,2,18,9,0.5,0.2,0,,0,2,9,0,1.5,0,1,-1,-5.0,-4.76,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Miguel,ESP,FW,23,1999,3,65,22,1.9,0.7,1,56,0,2,5,0,1.0,0,2,-2,-2.77,-2.55,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Nahuel Tenaglia,ARG,DF,27,1996,25,1141,46,33.4,12.7,11,85,9,14,14,9,1.48,15,19,-4,-0.32,-0.08,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Nikola Maraš,SRB,DF,27,1995,0,,,,,0,,0,0,,20,,,,,,,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Rafa Marín,ESP,DF,21,2002,33,2443,74,71.4,27.1,27,87,26,6,15,3,1.18,23,36,-13,-0.48,-0.76,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Rubén Duarte,ESP,DF,27,1995,28,1878,67,54.9,20.9,21,83,15,7,19,6,1.07,20,30,-10,-0.48,-0.48,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Rubén Montero,ESP,GK,17,2005,0,,,,,0,,0,0,,5,,,,,,,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Samu Omorodion,ESP,FW,19,2004,34,1918,56,56.1,21.3,21,78,3,13,21,1,1.15,15,28,-13,-0.61,-0.79,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Selu Diallo,ESP,MF,19,2003,0,,,,,0,,0,0,,9,,,,,,,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Tomás Mendes,ESP,MF,18,2004,1,6,6,0.2,0.1,0,,0,1,6,8,0.0,0,0,0,0.0,0.26,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Unai Ropero,ESP,FW,21,2001,1,5,5,0.1,0.1,0,,0,1,5,1,0.0,0,0,0,0.0,0.26,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
ESP-La Liga,2324,Alavés,Victor Parada,ESP,DF,21,2002,2,3,2,0.1,0.0,0,,0,2,2,8,3.0,0,0,0,0.0,0.26,ESP,2023-2024,playing_time,fbref_soccerdata,2026-08-10 21:45:25
